time,x,y,yaw,reward,yaw_rate,turn_radius
2.000000000000001082e-02,5.997693008145805749e-01,2.281146515910770223e-03,-4.466904478266176676e-02,0.000000000000000000e+00,-4.244577797592971713e+00,inf
4.000000000000002859e-02,5.991222519847075878e-01,2.473564689488561008e-03,-7.172427449873511329e-02,0.000000000000000000e+00,-1.527662074724913888e+00,inf
6.000000000000004635e-02,5.983498677543181987e-01,2.647769755401374603e-03,-9.743423936996557788e-02,0.000000000000000000e+00,-2.169492931847647466e+00,inf
8.000000000000005718e-02,5.975211119774874735e-01,1.797158511140095616e-03,-1.113805472946390457e-01,0.000000000000000000e+00,-1.194990333909350610e+00,inf
1.000000000000000749e-01,5.965210997071249688e-01,1.393877182951031024e-03,-1.279561483214388951e-01,0.000000000000000000e+00,-1.569995502314410540e+00,inf
1.200000000000000927e-01,5.954206421263320559e-01,7.450542758162259638e-04,-1.432849163769418233e-01,0.000000000000000000e+00,-1.089912603053423856e+00,inf
1.400000000000000966e-01,5.941227624100249294e-01,7.950824085671825969e-04,-1.665775337565176539e-01,0.000000000000000000e+00,-1.410386857257374560e+00,inf
1.600000000000001144e-01,5.927946958521231879e-01,-9.757764195117424322e-05,-1.787255232738673982e-01,0.000000000000000000e+00,-1.011533762408796111e+00,inf
1.800000000000001321e-01,5.912966421978252951e-01,-4.819344207970255312e-04,-1.941010771167438198e-01,0.000000000000000000e+00,-1.232861151294845747e+00,inf
2.000000000000001499e-01,5.897531253429754150e-01,-5.167755820897346197e-04,-2.129873044331199172e-01,0.000000000000000000e+00,-1.020769001156433209e+00,inf
2.200000000000001676e-01,5.880089731776378947e-01,4.253149754015472794e-04,-2.426875683098700665e-01,0.000000000000000000e+00,-1.252342954718913326e+00,inf
2.400000000000001854e-01,5.862390119453437798e-01,3.038069030580903274e-05,-2.580592121683773499e-01,0.000000000000000000e+00,-1.007015784713690243e+00,inf
2.600000000000001754e-01,5.842874309528703902e-01,-9.047052889776807660e-05,-2.746263323924851285e-01,0.000000000000000000e+00,-1.163277545793697243e+00,inf
2.800000000000001932e-01,5.823542351763958402e-01,-1.044107830338314447e-03,-2.812911908078226664e-01,0.000000000000000000e+00,-9.338032634638538942e-01,inf
3.000000000000002109e-01,5.802657566924778187e-01,-1.398629176571242194e-03,-2.907636758210004890e-01,0.000000000000000000e+00,-1.048943179483094568e+00,inf
3.200000000000002287e-01,5.781324546725209457e-01,-1.369370630301958158e-04,-3.166022263119862012e-01,0.000000000000000000e+00,-9.894829565146134875e-01,inf
3.400000000000002465e-01,5.757206273109797268e-01,2.650374069996241921e-03,-3.600548943802334145e-01,0.000000000000000000e+00,-1.166242448288224320e+00,inf
3.600000000000002642e-01,5.734225714036016441e-01,3.545368828432371444e-03,-3.816817489443876110e-01,0.000000000000000000e+00,-1.019377533545284598e+00,inf
3.800000000000002820e-01,5.709397442475820927e-01,4.426993096220910306e-03,-4.003445911282840219e-01,0.000000000000000000e+00,-1.126154463619652324e+00,inf
4.000000000000002998e-01,5.686148949473843750e-01,4.405912036891612704e-03,-4.064092308245261242e-01,0.000000000000000000e+00,-9.639513104294508139e-01,inf
4.200000000000003175e-01,5.660357223894405543e-01,4.945729071559379353e-03,-4.148743907657853058e-01,0.000000000000000000e+00,-1.044578232389011818e+00,inf
4.400000000000003353e-01,5.636014708672525408e-01,4.840609341696777701e-03,-4.143998128227790456e-01,0.000000000000000000e+00,-8.885897416472757770e-01,inf
4.600000000000003531e-01,5.609180123632452331e-01,5.420521719430415608e-03,-4.184717689117301020e-01,0.000000000000000000e+00,-9.579339211676232146e-01,inf
4.800000000000003708e-01,5.583735050508952247e-01,5.381499624179386654e-03,-4.151152921119902195e-01,0.000000000000000000e+00,-8.136800955488592280e-01,inf
5.000000000000003331e-01,5.555946159898753622e-01,6.018638029451961469e-03,-4.173220067470740924e-01,0.000000000000000000e+00,-8.776379908796815288e-01,inf
5.200000000000003508e-01,5.529516918166565986e-01,6.008662053516633517e-03,-4.128369137827647140e-01,0.000000000000000000e+00,-7.458568356220728335e-01,inf
5.400000000000003686e-01,5.500816278705034090e-01,6.661809210774638501e-03,-4.143165535676638922e-01,0.000000000000000000e+00,-8.065159242878457979e-01,inf
5.600000000000003864e-01,5.473520050578749574e-01,6.663018254677133267e-03,-4.093625808235196728e-01,0.000000000000000000e+00,-6.859982154254763431e-01,inf
5.800000000000004041e-01,5.443965173577458572e-01,7.328563691219813769e-03,-4.105142220116363982e-01,0.000000000000000000e+00,-7.440658928551414641e-01,inf
6.000000000000004219e-01,5.415885833897198243e-01,7.341249079795608701e-03,-4.053265930400102857e-01,0.000000000000000000e+00,-6.333216604440672359e-01,inf
6.200000000000004396e-01,5.385561725707725955e-01,8.019242859515829380e-03,-4.062939868189668347e-01,0.000000000000000000e+00,-5.705620315188021374e-01,inf
6.400000000000004574e-01,5.356788225823408967e-01,8.042966404895823818e-03,-4.009578196342838963e-01,0.000000000000000000e+00,-5.240299232367634508e-01,inf
6.600000000000004752e-01,5.325785594344655260e-01,8.731672146477020835e-03,-4.017949619250030802e-01,0.000000000000000000e+00,-4.874496549358846575e-01,inf
6.800000000000004929e-01,5.296406207234415353e-01,8.764242792576371066e-03,-3.963442721064907581e-01,0.000000000000000000e+00,-4.587078602351730705e-01,inf
7.000000000000005107e-01,5.264810804029840252e-01,9.460734123777791993e-03,-3.970750984224714619e-01,0.000000000000000000e+00,-4.347310096698866477e-01,inf
7.200000000000005285e-01,5.234907213474859766e-01,9.499167663317487076e-03,-3.915292441273819368e-01,0.000000000000000000e+00,-3.919836765577449089e-01,inf
7.400000000000005462e-01,5.203295094970423751e-01,9.798554298897532711e-03,-3.878686243031347347e-01,0.000000000000000000e+00,-3.422069128680342853e-01,inf
