time,x,y,yaw,reward,yaw_rate,turn_radius
2.000000000000001082e-02,5.999792721478184321e-01,-1.285206755003598378e-03,1.486084149148214628e-02,0.000000000000000000e+00,1.442674429238234746e+00,inf
4.000000000000002859e-02,5.998132442707975187e-01,-7.809356186368465735e-04,-6.144081263477889701e-03,0.000000000000000000e+00,-9.091482742184727739e-01,inf
6.000000000000004635e-02,5.993529809023123711e-01,-1.344093060368867221e-03,-1.660138784234933135e-02,0.000000000000000000e+00,2.263117369751414462e-02,inf
8.000000000000005718e-02,5.987685918981821009e-01,-1.431128189496311265e-03,-3.044209595716159886e-02,0.000000000000000000e+00,-7.214457559868059366e-01,inf
1.000000000000000749e-01,5.980850742357521899e-01,-2.260994639023405917e-03,-3.567063234013623241e-02,0.000000000000000000e+00,-1.556497858352950681e-01,inf
1.200000000000000927e-01,5.972412348866327214e-01,-2.486129672027659332e-03,-4.567302290616397087e-02,0.000000000000000000e+00,-5.943256991618133256e-01,inf
1.400000000000000966e-01,5.963067386747354925e-01,-3.371241367746691253e-03,-4.800650942795559734e-02,0.000000000000000000e+00,-1.903017759148858123e-01,inf
1.600000000000001144e-01,5.951997700736761931e-01,-3.601161692162901939e-03,-5.575736382399320429e-02,0.000000000000000000e+00,-5.024686165977636509e-01,inf
1.800000000000001321e-01,5.939977205713300457e-01,-4.465646102501774628e-03,-5.629557789692621328e-02,0.000000000000000000e+00,-1.895612311942669048e-01,inf
2.000000000000001499e-01,5.926268042657203416e-01,-4.653166850968448731e-03,-6.259998126613469660e-02,0.000000000000000000e+00,-4.328253622028009895e-01,inf
2.200000000000001676e-01,5.911592179963168769e-01,-5.468517925738769492e-03,-6.194292903335105183e-02,0.000000000000000000e+00,-1.782341657828854231e-01,inf
2.400000000000001854e-01,5.895317898258972678e-01,-5.595849863137103419e-03,-6.723332687259669926e-02,0.000000000000000000e+00,-3.771728152072292839e-01,inf
2.600000000000001754e-01,5.878136249199326091e-01,-6.349320710174244375e-03,-6.553775894231583798e-02,0.000000000000000000e+00,-1.623924080609599474e-01,inf
2.800000000000001932e-01,5.860001832782371078e-01,-6.437671270421663205e-03,-6.515581531240079161e-02,0.000000000000000000e+00,-3.014169836466827901e-01,inf
3.000000000000002109e-01,5.841491672767001875e-01,-7.041802397627749954e-03,-5.538882580583077975e-02,0.000000000000000000e+00,-9.633379369750197374e-02,inf
3.200000000000002287e-01,5.821090423563458627e-01,-6.796435232557740402e-03,-5.294604311386525569e-02,0.000000000000000000e+00,-2.285359069131273624e-01,inf
3.400000000000002465e-01,5.800005348132394323e-01,-7.032198699339908821e-03,-4.468842455395875130e-02,0.000000000000000000e+00,-5.515753961617990420e-02,inf
3.600000000000002642e-01,5.776702818429479969e-01,-6.834518086100471734e-03,-1.871541933225357238e-02,0.000000000000000000e+00,-5.839159928960388490e-02,inf
