time,x,y,yaw,reward,velocity_x,velocity_y,steady_state,frequency,phase_lag_1,phase_lag_2,phase_lag_3,phase_lag_4,phase_lag_5
2.000000000000001082e-02,5.999769892158031137e-01,-1.962879464024791520e-03,2.302240173759428216e-02,0.000000000000000000e+00,-4.081659156986149409e-03,-1.748356738571998636e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.286292910575866699e-01,7.138599753379821777e-01,7.004320621490478516e-01,6.579330563545227051e-01,6.657314300537109375e-01
4.000000000000002859e-02,5.997841655403286509e-01,-6.047642525178920092e-03,7.484071891808180554e-02,0.000000000000000000e+00,-9.553935404368859088e-03,-1.930837408158231905e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.160439491271972656e-01,6.417377591133117676e-01,6.452870965003967285e-01,6.454625129699707031e-01,6.583660840988159180e-01
6.000000000000004635e-02,5.994364391511016743e-01,-9.734243257321140153e-03,1.293729395820872041e-01,0.000000000000000000e+00,-1.225937025733922492e-02,-1.776073470357457662e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.243090867996215820e-01,6.190651655197143555e-01,6.046007275581359863e-01,6.536840200424194336e-01,6.709914207458496094e-01
8.000000000000005718e-02,5.991430056911171143e-01,-1.172347489806679910e-02,1.700473203553711510e-01,0.000000000000000000e+00,-1.189403990791966861e-02,-1.463330732682218138e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.390487194061279297e-01,6.150497198104858398e-01,5.684055089950561523e-01,6.692058444023132324e-01,6.936230659484863281e-01
1.000000000000000749e-01,5.990072584916501519e-01,-1.198926815644474342e-02,1.937074157294291221e-01,0.000000000000000000e+00,-1.018024533059592139e-02,-1.131501225187790255e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.427880167961120605e-01,6.300048232078552246e-01,5.662430524826049805e-01,6.801005005836486816e-01,7.135207653045654297e-01
1.200000000000000927e-01,5.989765154706412353e-01,-1.122458160681227834e-02,2.063977865027956382e-01,0.000000000000000000e+00,-8.595937167648216165e-03,-8.594426959593688686e-02,0.000000000000000000e+00,1.000000000000000000e+00,7.448224425315856934e-01,6.559067964553833008e-01,5.917208194732666016e-01,6.839704513549804688e-01,7.183164954185485840e-01
1.400000000000000966e-01,5.989473984652395888e-01,-1.019972765033905215e-02,2.163354471985360628e-01,0.000000000000000000e+00,-7.778401090383088058e-03,-6.667228874986567966e-02,0.000000000000000000e+00,1.000000000000000000e+00,7.464399933815002441e-01,6.744956374168395996e-01,6.139245033264160156e-01,6.832060813903808594e-01,7.146036624908447266e-01
1.600000000000001144e-01,5.988443058399517405e-01,-9.321569328239742713e-03,2.286499373030131121e-01,0.000000000000000000e+00,-7.763120273206879085e-03,-5.342028875120349851e-02,0.000000000000000000e+00,1.000000000000000000e+00,7.472287416458129883e-01,6.771108508110046387e-01,6.187130212783813477e-01,6.816116571426391602e-01,7.117489576339721680e-01
1.800000000000001321e-01,5.986395409334962503e-01,-8.551585234583602979e-03,2.437086686359537235e-01,0.000000000000000000e+00,-8.309167179579468598e-03,-4.299204959191641612e-02,0.000000000000000000e+00,1.000000000000000000e+00,7.475901246070861816e-01,6.713597774505615234e-01,6.119976639747619629e-01,6.812731623649597168e-01,7.123855948448181152e-01
2.000000000000001499e-01,5.983487270167403560e-01,-7.581123051109195377e-03,2.584457846203362386e-01,0.000000000000000000e+00,-9.076219095103175288e-03,-3.273639496173776087e-02,0.000000000000000000e+00,1.000000000000000000e+00,7.481517195701599121e-01,6.686580777168273926e-01,6.065156459808349609e-01,6.824722290039062500e-01,7.154746651649475098e-01
