seq,millis,channel,target_deg,actual_deg,error_deg
40658,3253209,CH5,104.569,99.360,5.209
40658,3253209,CH6,97.879,100.080,-2.201
40659,3253280,CH1,158.175,151.440,6.735
40659,3253280,CH2,153.772,144.720,9.052
40659,3253280,CH3,149.062,139.200,9.862
40659,3253280,CH4,117.580,108.960,8.620
40659,3253280,CH5,104.569,99.360,5.209
40659,3253280,CH6,97.879,100.080,-2.201
40660,3253360,CH1,153.496,153.600,-0.104
40660,3253360,CH2,157.703,152.880,4.823
40660,3253360,CH3,158.857,150.240,8.617
40660,3253360,CH4,130.856,120.240,10.616
40660,3253360,CH5,116.515,106.800,9.715
40660,3253360,CH6,103.545,98.880,4.665
40661,3253440,CH1,141.246,149.760,-8.514
40661,3253440,CH2,153.422,154.800,-1.378
40661,3253440,CH3,162.349,157.440,4.909
40661,3253440,CH4,141.271,132.480,8.791
40661,3253440,CH5,130.708,119.280,11.428
40661,3253440,CH6,116.383,106.560,9.823
40662,3253520,CH1,126.104,138.240,-12.136
40662,3253520,CH2,142.564,150.480,-7.916
40662,3253520,CH3,158.204,159.600,-1.396
40662,3253520,CH4,144.848,141.120,3.728
40662,3253520,CH5,141.727,132.240,9.487
40662,3253520,CH6,131.488,118.080,13.408
40663,3253609,CH1,126.104,138.240,-12.136
40663,3253609,CH2,142.564,150.480,-7.916
40663,3253609,CH3,158.204,159.600,-1.396
40663,3253609,CH4,144.848,141.120,3.728
40663,3253609,CH5,141.727,132.240,9.487
40663,3253609,CH6,131.488,118.080,13.408
40664,3253680,CH1,113.854,125.040,-11.186
40664,3253680,CH2,129.278,139.200,-9.922
40664,3253680,CH3,148.007,155.760,-7.753
40664,3253680,CH4,140.219,143.280,-3.061
40664,3253680,CH5,145.363,143.520,1.843
40664,3253680,CH6,143.091,132.480,10.611
40665,3253760,CH1,109.175,115.920,-6.745
40665,3253760,CH2,118.637,127.920,-9.283
40665,3253760,CH3,135.651,146.640,-10.989
40665,3253760,CH4,129.153,138.480,-9.327
40665,3253760,CH5,140.227,144.720,-4.493
40665,3253760,CH6,146.761,144.480,2.281
40666,3253840,CH1,109.175,115.920,-6.745
40666,3253840,CH2,118.637,127.920,-9.283
40666,3253840,CH3,135.651,146.640,-10.989
40666,3253840,CH4,129.153,138.480,-9.327
40666,3253840,CH5,140.227,144.720,-4.493
40666,3253840,CH6,146.761,144.480,2.281
40667,3253920,CH1,113.854,114.000,-0.146
40667,3253920,CH2,114.707,119.760,-5.053
40667,3253920,CH3,125.856,135.360,-9.504
40667,3253920,CH4,115.877,127.920,-12.043
40667,3253920,CH5,128.281,138.960,-10.679
40667,3253920,CH6,141.094,145.200,-4.106
40668,3254009,CH1,126.104,117.600,8.504
40668,3254009,CH2,118.988,117.600,1.388
40668,3254009,CH3,122.364,126.240,-3.876
40668,3254009,CH4,105.462,114.960,-9.498
40668,3254009,CH5,114.088,126.240,-12.152
40668,3254009,CH6,128.257,138.960,-10.703
40669,3254080,CH1,141.246,128.640,12.606
40669,3254080,CH2,129.845,122.640,7.205
40669,3254080,CH3,126.509,124.800,1.709
40669,3254080,CH4,101.885,105.600,-3.715
40669,3254080,CH5,103.069,112.560,-9.491
40669,3254080,CH6,113.151,125.520,-12.369
40670,3254160,CH1,141.246,128.640,12.606
40670,3254160,CH2,129.845,122.640,7.205
40670,3254160,CH3,126.509,124.800,1.709
40670,3254160,CH4,101.885,105.600,-3.715
40670,3254160,CH5,103.069,112.560,-9.491
40670,3254160,CH6,113.151,125.520,-12.369
40671,3254240,CH1,153.496,141.840,11.656
40671,3254240,CH2,143.132,133.680,9.452
40671,3254240,CH3,136.707,129.120,7.587
40671,3254240,CH4,106.514,103.200,3.314
40671,3254240,CH5,99.433,100.800,-1.367
40671,3254240,CH6,101.548,111.120,-9.572
40672,3254320,CH1,158.175,151.200,6.975
40672,3254320,CH2,153.772,144.960,8.812
40672,3254320,CH3,149.062,138.960,10.102
40672,3254320,CH4,117.580,108.720,8.860
40672,3254320,CH5,104.569,99.120,5.449
40672,3254320,CH6,97.879,101.520,-3.641
40673,3254409,CH1,158.175,151.200,6.975
40673,3254409,CH2,153.772,144.960,8.812
40673,3254409,CH3,149.062,138.960,10.102
40673,3254409,CH4,117.580,108.720,8.860
40673,3254409,CH5,104.569,99.120,5.449
40673,3254409,CH6,97.879,101.520,-3.641
40674,3254480,CH1,153.496,153.600,-0.104
40674,3254480,CH2,157.703,152.880,4.823
40674,3254480,CH3,158.857,150.000,8.857
40674,3254480,CH4,130.856,120.240,10.616
40674,3254480,CH5,116.515,106.800,9.715
40674,3254480,CH6,103.545,99.360,4.185
40675,3254560,CH1,141.246,149.760,-8.514
40675,3254560,CH2,153.422,155.040,-1.618
40675,3254560,CH3,162.349,157.440,4.909
40675,3254560,CH4,141.271,133.200,8.071
40675,3254560,CH5,130.708,119.520,11.188
40675,3254560,CH6,116.383,107.520,8.863
40676,3254640,CH1,126.104,138.240,-12.136
40676,3254640,CH2,142.564,150.000,-7.436
40676,3254640,CH3,158.204,160.080,-1.876
40676,3254640,CH4,144.848,141.600,3.248
40676,3254640,CH5,141.727,133.440,8.287
40676,3254640,CH6,131.488,118.560,12.928
40677,3254720,CH1,126.104,138.240,-12.136
40677,3254720,CH2,142.564,150.000,-7.436
40677,3254720,CH3,158.204,160.080,-1.876
40677,3254720,CH4,144.848,141.600,3.248
40677,3254720,CH5,141.727,133.440,8.287
40677,3254720,CH6,131.488,118.560,12.928
40678,3254809,CH1,113.854,124.800,-10.946
40678,3254809,CH2,129.278,138.720,-9.442
40678,3254809,CH3,148.007,155.520,-7.513
40678,3254809,CH4,140.219,143.280,-3.061
40678,3254809,CH5,145.363,143.280,2.083
40678,3254809,CH6,143.091,132.720,10.371
40679,3254880,CH1,109.175,115.920,-6.745
40679,3254880,CH2,118.637,127.920,-9.283
40679,3254880,CH3,135.651,146.160,-10.509
40679,3254880,CH4,129.153,138.240,-9.087
40679,3254880,CH5,140.227,144.960,-4.733
40679,3254880,CH6,146.761,144.240,2.521
40680,3254960,CH1,109.175,115.920,-6.745
40680,3254960,CH2,118.637,127.920,-9.283
40680,3254960,CH3,135.651,146.160,-10.509
40680,3254960,CH4,129.153,138.240,-9.087
40680,3254960,CH5,140.227,144.960,-4.733
40680,3254960,CH6,146.761,144.240,2.521
40681,3255040,CH1,113.854,113.760,0.094
40681,3255040,CH2,114.707,119.280,-4.573
40681,3255040,CH3,125.856,135.120,-9.264
40681,3255040,CH4,115.877,127.680,-11.803
40681,3255040,CH5,128.281,138.480,-10.199
40681,3255040,CH6,141.094,144.960,-3.866
40682,3255120,CH1,126.104,117.360,8.744
40682,3255120,CH2,118.988,117.600,1.388
40682,3255120,CH3,122.364,126.960,-4.596
40682,3255120,CH4,105.462,114.240,-8.778
40682,3255120,CH5,114.088,126.000,-11.912
40682,3255120,CH6,128.257,138.720,-10.463
40683,3255209,CH1,141.246,129.120,12.126
40683,3255209,CH2,129.845,122.880,6.965
40683,3255209,CH3,126.509,125.040,1.469
40683,3255209,CH4,101.885,104.880,-2.995
40683,3255209,CH5,103.069,112.320,-9.251
40683,3255209,CH6,113.151,125.760,-12.609
40684,3255280,CH1,141.246,129.120,12.126
40684,3255280,CH2,129.845,122.880,6.965
40684,3255280,CH3,126.509,125.040,1.469
40684,3255280,CH4,101.885,104.880,-2.995
40684,3255280,CH5,103.069,112.320,-9.251
40684,3255280,CH6,113.151,125.760,-12.609
40685,3255360,CH1,153.496,143.040,10.456
40685,3255360,CH2,143.132,133.440,9.692
40685,3255360,CH3,136.707,129.600,7.107
40685,3255360,CH4,106.514,103.200,3.314
40685,3255360,CH5,99.433,100.320,-0.887
40685,3255360,CH6,101.548,111.360,-9.812
40686,3255440,CH1,158.175,151.440,6.735
40686,3255440,CH2,153.772,144.960,8.812
40686,3255440,CH3,149.062,139.200,9.862
40686,3255440,CH4,117.580,108.960,8.620
40686,3255440,CH5,104.569,99.360,5.209
40686,3255440,CH6,97.879,99.840,-1.961
40687,3255520,CH1,153.496,153.600,-0.104
40687,3255520,CH2,157.703,153.120,4.583
40687,3255520,CH3,158.857,150.240,8.617
40687,3255520,CH4,130.856,120.000,10.856
40687,3255520,CH5,116.515,107.040,9.475
40687,3255520,CH6,103.545,99.120,4.425
40688,3255609,CH1,153.496,153.600,-0.104
40688,3255609,CH2,157.703,153.120,4.583
40688,3255609,CH3,158.857,150.240,8.617
40688,3255609,CH4,130.856,120.000,10.856
40688,3255609,CH5,116.515,107.040,9.475
40688,3255609,CH6,103.545,99.120,4.425
40689,3255680,CH1,141.246,149.760,-8.514
40689,3255680,CH2,153.422,155.040,-1.618
40689,3255680,CH3,162.349,158.160,4.189
40689,3255680,CH4,141.271,132.960,8.311
40689,3255680,CH5,130.708,119.040,11.668
40689,3255680,CH6,116.383,106.080,10.303
40690,3255760,CH1,126.104,138.000,-11.896
