video_name,direction,commanded_metric,commanded_value,measured_value,error,abs_error,percent_error,measured_radius_m,measured_yaw_rate_abs_rad_s,circle_rmse_m
clean_v_20260702_194718_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03.mp4,forward,straight_speed_m_s,0.17,0.16773880486240272,-0.0022611951375972883,0.0022611951375972883,-1.3301147868219343,,,
clean_v_20260702_195426_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03.mp4,forward,straight_speed_m_s,0.17,0.1789633128631319,0.0089633128631319,0.0089633128631319,5.272536978312882,,,
clean_v_20260702_195536_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03.mp4,forward,straight_speed_m_s,0.17,0.1738565909524306,0.0038565909524305997,0.0038565909524305997,2.26858291319447,,,
clean_v_20260702_195734_paper80_ppo_turn_left_a20_r03_run09.mp4,left,R_m,0.3,0.39125674818179607,0.09125674818179608,0.09125674818179608,30.418916060598693,0.39125674818179607,0.40598012532596606,0.04574444794126888
clean_v_20260702_200018_paper80_ppo_turn_left_a20_r03_run09.mp4,left,R_m,0.3,0.3956140757004622,0.09561407570046221,0.09561407570046221,31.87135856682074,0.3956140757004622,0.4287544544123046,0.03240818938210808
clean_v_20260702_200230_paper80_ppo_turn_right_a20_r03_run09.mp4,right,R_m,0.3,0.2827898586895694,-0.017210141310430582,0.017210141310430582,-5.736713770143528,0.2827898586895694,0.498745023947621,0.055582675574362354
clean_v_20260702_200359_paper80_ppo_turn_right_a20_r03_run09.mp4,right,R_m,0.3,0.2807565927111941,-0.019243407288805914,0.019243407288805914,-6.414469096268638,0.2807565927111941,0.4978445355220862,0.022305742334031885
clean_v_20260702_200605_paper_ppo_turn_left_a20_r05_run01.mp4,left,R_m,0.5,0.6476870723854112,0.14768707238541123,0.14768707238541123,29.537414477082248,0.6476870723854112,0.27509680888718996,0.03547851052214113
clean_v_20260702_200817_paper_ppo_turn_left_a20_r05_run01.mp4,left,R_m,0.5,0.5976524081056407,0.09765240810564069,0.09765240810564069,19.53048162112814,0.5976524081056407,0.289853392652064,0.0217085020303406
clean_v_20260702_201029_paper_ppo_turn_right_a20_r05_run04.mp4,right,R_m,0.5,0.5723195042575238,0.07231950425752376,0.07231950425752376,14.463900851504752,0.5723195042575238,0.30914680801232763,0.08213055180853243
clean_v_20260702_201134_paper_ppo_turn_right_a20_r05_run04.mp4,right,R_m,0.5,0.5462061441629676,0.046206144162967644,0.046206144162967644,9.241228832593528,0.5462061441629676,0.3074735540253837,0.025686394814929143
clean_v_20260702_201310_paper80_ppo_turn_left_a20_y07_run02.mp4,left,yaw_rate_abs_rad_s,0.7,0.4888882993481356,-0.21111170065186435,0.21111170065186435,-30.158814378837768,0.3336658519137695,0.4888882993481356,0.07208549419013198
clean_v_20260702_201455_paper80_ppo_turn_left_a20_y07_run02.mp4,left,yaw_rate_abs_rad_s,0.7,0.5097974889663335,-0.19020251103366648,0.19020251103366648,-27.17178729052378,0.29034024566335626,0.5097974889663335,0.023367162937911443
clean_v_20260702_201628_paper80_ppo_turn_right_a20_y07_run07.mp4,right,yaw_rate_abs_rad_s,0.7,0.4847002021420815,-0.21529979785791847,0.21529979785791847,-30.75711397970264,0.2875530706431949,0.4847002021420815,0.02715071445203281
clean_v_20260702_201739_paper80_ppo_turn_right_a20_y07_run07.mp4,right,yaw_rate_abs_rad_s,0.7,0.48769010494873627,-0.2123098950512637,0.2123098950512637,-30.329985007323387,0.2899453221736141,0.48769010494873627,0.019653143362503962
clean_v_20260702_201856_paper_ppo_turn_left_a20_y05_run08.mp4,left,yaw_rate_abs_rad_s,0.5,0.3423159960953347,-0.1576840039046653,0.1576840039046653,-31.53680078093306,0.5026111641589806,0.3423159960953347,0.04873423949454272
clean_v_20260702_202110_paper_ppo_turn_left_a20_y05_run08.mp4,left,yaw_rate_abs_rad_s,0.5,0.3511203340635183,-0.14887966593648172,0.14887966593648172,-29.775933187296346,0.4871774072246641,0.3511203340635183,0.057140580601622575
clean_v_20260702_202330_paper_ppo_turn_right_a20_y05_run04.mp4,right,yaw_rate_abs_rad_s,0.5,0.4251609210355175,-0.0748390789644825,0.0748390789644825,-14.967815792896499,0.358261998675863,0.4251609210355175,0.021377432381461666
clean_v_20260702_202504_paper_ppo_turn_right_a20_y05_run04.mp4,right,yaw_rate_abs_rad_s,0.5,0.4091590280840466,-0.09084097191595342,0.09084097191595342,-18.168194383190684,0.36099310211342944,0.4091590280840466,0.02299989139061024
clean_v_20260702_202853_backward_negfreq_w100_ew08_a20_targetv11_ppo_free_swim_freq_phase_run03.mp4,backward,straight_speed_m_s,0.11,0.03536318946952115,-0.07463681053047885,0.07463681053047885,-67.85164593679896,,,
clean_v_20260702_203051_backward_negfreq_w100_ew08_a20_targetv11_ppo_free_swim_freq_phase_run03.mp4,backward,straight_speed_m_s,0.11,0.039871858322521,-0.070128141677479,0.070128141677479,-63.75285607043545,,,
