video_name,direction,command_type,command_value,command_unit,fps,frame_count,analyzed_frame_count,duration_s,analyzed_duration_s,max_seconds,px_per_m,detected_frame_count,detection_rate,representative_start_s,representative_end_s,fit_kind,measured_radius_m,measured_yaw_rate_rad_s,measured_yaw_rate_abs_rad_s,commanded_metric,commanded_value,measured_value,error,abs_error,percent_error,circle_rmse_m,arc_angle_deg,path_length_px,path_length_m,net_displacement_px,net_displacement_m,straight_speed_m_s,straight_speed_source,straight_tracked_net_speed_m_s,straight_tracked_path_speed_m_s,straight_fit_x_slope_px_s,straight_fit_y_slope_px_s,straight_measurement_start_s,straight_measurement_requested_start_s,straight_measurement_seconds,straight_measurement_end_s,straight_measurement_frame_count,straight_trim_last_seconds,metric_start_s,metric_end_s,turn_trim_last_seconds,turn_start_seconds
clean_v_20260702_194718_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03.mp4,forward,straight_speed,0.17,m/s,30.0,382,382,12.733333333333333,12.7,,269.2105609870623,382,1.0,2.0,10.733333333333333,straight,,,,straight_speed_m_s,0.17,0.16773880486240272,-0.0022611951375972883,0.0022611951375972883,-1.3301147868219343,,,676.7651337568551,2.513887758620952,555.6441651685575,2.0639761052883085,0.16773880486240272,linear_fit_of_red_marker_center_in_steady_window,0.16443378587985216,0.20057532808901532,45.08351040933734,2.576228712207203,2.0,2.0,10.733333333333333,10.733333333333333,263,2.0,,,,
clean_v_20260702_195426_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03.mp4,forward,straight_speed,0.17,m/s,30.0,443,443,14.766666666666667,14.733333333333333,,269.2105609870623,443,1.0,2.0,12.766666666666667,straight,,,,straight_speed_m_s,0.17,0.1789633128631319,0.0089633128631319,0.0089633128631319,5.272536978312882,,,765.6773210527828,2.844157815523365,586.8920770074792,2.1800484901321684,0.1789633128631319,linear_fit_of_red_marker_center_in_steady_window,0.17811421139849598,0.20960339523634464,47.26004741546757,-9.364081507129297,2.0,2.0,12.766666666666667,12.766666666666667,324,2.0,,,,
clean_v_20260702_195536_w100_ew08_a20_targetv17_ppo_free_swim_freq_phase_run03.mp4,forward,straight_speed,0.17,m/s,30.0,446,446,14.866666666666667,14.833333333333334,,269.2105609870623,446,1.0,2.0,12.866666666666667,straight,,,,straight_speed_m_s,0.17,0.1738565909524306,0.0038565909524305997,0.0038565909524305997,2.26858291319447,,,762.4644260311982,2.832223309648839,580.4206229364497,2.156009856405089,0.1738565909524306,linear_fit_of_red_marker_center_in_steady_window,0.17532999880737984,0.20675109893578608,46.58536033824642,-4.519011188044039,2.0,2.0,12.866666666666667,12.866666666666667,327,2.0,,,,
clean_v_20260702_195734_paper80_ppo_turn_left_a20_r03_run09.mp4,left,turn_radius,0.3,m,30.0,1075,1075,35.833333333333336,35.8,,269.2105609870623,1075,1.0,2.0,32.833333333333336,circle,0.39125674818179607,-0.40598012532596606,0.40598012532596606,R_m,0.3,0.39125674818179607,0.09125674818179608,0.09125674818179608,30.418916060598693,0.04574444794126888,695.3139222118004,2045.1590400715172,7.596875221287486,147.6886143342757,0.5485988877731038,,,,,,,,,,,,,2.0,32.833333333333336,3.0,2.0
clean_v_20260702_200018_paper80_ppo_turn_left_a20_r03_run09.mp4,left,turn_radius,0.3,m,30.0,1037,1037,34.56666666666667,34.53333333333333,,269.2105609870623,1037,1.0,2.0,31.56666666666667,circle,0.3956140757004622,-0.4287544544123046,0.4287544544123046,R_m,0.3,0.3956140757004622,0.09561407570046221,0.09561407570046221,31.87135856682074,0.03240818938210808,736.8127462559851,2121.5232255137344,7.88053491562573,214.40409323331014,0.7964178390594935,,,,,,,,,,,,,2.0,31.56666666666667,3.0,2.0
clean_v_20260702_200230_paper80_ppo_turn_right_a20_r03_run09.mp4,right,turn_radius,0.3,m,30.0,978,978,32.6,32.56666666666667,,269.2105609870623,978,1.0,2.0,29.6,circle,0.2827898586895694,0.498745023947621,0.498745023947621,R_m,0.3,0.2827898586895694,-0.017210141310430582,0.017210141310430582,-5.736713770143528,0.055582675574362354,807.819339660161,1622.708821171763,6.027656623952977,170.81049254032288,0.6344865963431935,,,,,,,,,,,,,2.0,29.6,3.0,2.0
clean_v_20260702_200359_paper80_ppo_turn_right_a20_r03_run09.mp4,right,turn_radius,0.3,m,30.0,925,925,30.833333333333332,30.8,,269.2105609870623,925,1.0,2.0,27.833333333333332,circle,0.2807565927111941,0.4978445355220862,0.4978445355220862,R_m,0.3,0.2807565927111941,-0.019243407288805914,0.019243407288805914,-6.414469096268638,0.022305742334031885,732.7461860416732,1541.9614313685286,5.727715234182926,150.13372877228682,0.5576814231277574,,,,,,,,,,,,,2.0,27.833333333333332,3.0,2.0
clean_v_20260702_200605_paper_ppo_turn_left_a20_r05_run01.mp4,left,turn_radius,0.5,m,30.0,1119,1119,37.3,37.266666666666666,,269.2105609870623,1119,1.0,2.0,34.3,circle,0.6476870723854112,-0.27509680888718996,0.27509680888718996,R_m,0.5,0.6476870723854112,0.14768707238541123,0.14768707238541123,29.537414477082248,0.03547851052214113,504.6241347286875,2246.2967578637836,8.344014252738532,358.02805959147986,1.3299183296478696,,,,,,,,,,,,,2.0,34.3,3.0,2.0
clean_v_20260702_200817_paper_ppo_turn_left_a20_r05_run01.mp4,left,turn_radius,0.5,m,30.0,1039,1039,34.63333333333333,34.6,,269.2105609870623,1039,1.0,2.0,31.633333333333333,circle,0.5976524081056407,-0.289853392652064,0.289853392652064,R_m,0.5,0.5976524081056407,0.09765240810564069,0.09765240810564069,19.53048162112814,0.0217085020303406,488.229841153206,2090.924349699565,7.766873416975831,289.2725356695217,1.0745214994868775,,,,,,,,,,,,,2.0,31.633333333333333,3.0,2.0
clean_v_20260702_201029_paper_ppo_turn_right_a20_r05_run04.mp4,right,turn_radius,0.5,m,30.0,1029,1029,34.3,34.266666666666666,,269.2105609870623,1029,1.0,2.0,31.299999999999997,circle,0.5723195042575238,0.30914680801232763,0.30914680801232763,R_m,0.5,0.5723195042575238,0.07231950425752376,0.07231950425752376,14.463900851504752,0.08213055180853243,518.9517715662305,2073.23690376361,7.701172257737858,321.70250293935425,1.194984705502748,,,,,,,,,,,,,2.0,31.299999999999997,3.0,2.0
