mode,direction,target,run_count,group_csv
yaw,left,0.3,10,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\paper80_ppo_reward_summary\paper_reward_yaw_left_0p3.csv
yaw,left,0.7,10,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\paper80_ppo_reward_summary\paper_reward_yaw_left_0p7.csv
yaw,right,0.3,10,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\paper80_ppo_reward_summary\paper_reward_yaw_right_0p3.csv
yaw,right,0.7,10,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\paper80_ppo_reward_summary\paper_reward_yaw_right_0p7.csv
radius,left,0.3,10,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\paper80_ppo_reward_summary\paper_reward_radius_left_0p3.csv
radius,left,0.7,10,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\paper80_ppo_reward_summary\paper_reward_radius_left_0p7.csv
radius,right,0.3,10,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\paper80_ppo_reward_summary\paper_reward_radius_right_0p3.csv
radius,right,0.7,10,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\paper80_ppo_reward_summary\paper_reward_radius_right_0p7.csv
