direction,action_mode,n,policy_abs_yaw_rate_mean,policy_abs_yaw_rate_std,policy_yaw_error_mean,policy_yaw_error_std,fixed_abs_yaw_rate_mean,fixed_abs_yaw_rate_std,fixed_yaw_error_mean,fixed_yaw_error_std
right,bias_only,3,0.2757951352618673,0.03042202804747214,0.22420486473813273,0.030422028047472124,0.36781105719626556,0.024102988414921547,0.13218894280373447,0.024102988414921547
right,bias_tail3_amp,3,0.26938138220807833,0.04961458918824298,0.23061861779192167,0.04961458918824297,0.3905550507218897,0.10039973300436301,0.10944494927811034,0.10039973300436301
left,bias_only,3,0.22262940301865689,0.01939808787155678,0.2773705969813431,0.019398087871556762,0.3672735836600054,0.08823749356505399,0.13272641633999463,0.08823749356505399
left,bias_tail3_amp,3,0.27381373546660953,0.043693792042283505,0.22618626453339044,0.043693792042283505,0.4387270321260868,0.08458004760455529,0.08109362719054873,0.05404706083151683
