name,mode,direction,target,model_zip,trajectory_csv,summary_json,steady_action_count,steady_reward_mean,steady_reward_min,steady_reward_max,mean_bias_0,mean_bias_1,mean_bias_2,mean_bias_3,mean_bias_4,mean_bias_5,filtered25_bias_0,filtered25_bias_1,filtered25_bias_2,filtered25_bias_3,filtered25_bias_4,filtered25_bias_5,top20_bias_0,top20_bias_1,top20_bias_2,top20_bias_3,top20_bias_4,top20_bias_5,median_bias_0,median_bias_1,median_bias_2,median_bias_3,median_bias_4,median_bias_5,trimmed20_bias_0,trimmed20_bias_1,trimmed20_bias_2,trimmed20_bias_3,trimmed20_bias_4,trimmed20_bias_5
ppo_turn_left_a20_r03_run04,radius,left,0.3,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run04_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r03_run04_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r03_run04_policy_rerun_summary.json,400,-0.14485722135735812,-0.6322395775891372,-0.00037252044033109227,0.3499999940395355,0.3499999940395355,0.34654258847236635,0.12109666202333756,0.12750942742219196,0.349745056219399,0.3499999940395355,0.3499999940395355,0.3487214994430542,0.23847659779712557,0.24562890395366896,0.34966007694602014,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3419191841967404,0.33805429297499356,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.13382126007345493,0.14690354985883475,0.3499999940395355
ppo_turn_left_a20_r03_run05,radius,left,0.3,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r03_run05_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r03_run05_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r03_run05_policy_rerun_summary.json,400,-0.15447791755388857,-0.7295302986720875,-0.0002463930190881314,0.3496272549778223,0.3499999940395355,0.30689949977444486,0.17425114127177949,0.17682742573058932,0.3004272993095219,0.34993434240420657,0.3499999940395355,0.30296842988580464,0.1491383578296033,0.1522698003236049,0.30050157455106574,0.3499999940395355,0.3499999940395355,0.32215373367071154,0.18777747489511967,0.18296081172884443,0.3156326238065958,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.31158456206321716,0.34528960287570953,0.3499999940395355,0.3499999940395355,0.3278589172661301,0.20317725917626375,0.2012639937104541,0.30900672283023634
ppo_turn_left_a20_r05_run01,radius,left,0.5,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run01_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r05_run01_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r05_run01_policy_rerun_summary.json,400,-0.15226727549175828,-2.101355630271196,-0.00012893695213791467,0.24632196247577667,0.2947487621381879,0.20326111904345454,0.20781817549839615,0.09458952262997627,0.010841208603851555,0.24834661888579526,0.30498989020784695,0.21073695562779904,0.21830597216263414,0.08982239730656147,0.015271587493334664,0.27074261400848626,0.3381544478237629,0.24159103985875846,0.24426749926060437,0.07730910615064204,0.02323518712364603,0.26073502004146576,0.32070326805114746,0.23338105529546738,0.2210780531167984,0.09458011016249657,0.012350876815617085,0.252599254138768,0.30716753777116496,0.21155977007001603,0.21830967236310236,0.0942216394841668,0.012005431887846498
ppo_turn_left_a20_r05_run02,radius,left,0.5,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run02_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r05_run02_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r05_run02_policy_rerun_summary.json,400,-0.2691302192405841,-0.5774406025628669,-0.09609248879598331,0.34571924395859244,0.3499999940395355,0.3499999940395355,-0.08565505169215612,-0.19548701722589612,0.15737295924409408,0.34617177069187166,0.3499999940395355,0.3499999940395355,-0.008654322839186837,-0.14910228367206096,0.13643278997022815,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.18822643291787244,-0.045157324746833184,0.08202126942414907,0.3499999940395355,0.3499999940395355,0.3499999940395355,-0.270491823554039,-0.32702696323394775,0.16418809443712234,0.3499999940395355,0.3499999940395355,0.3499999940395355,-0.08702071331324987,-0.22250898522739612,0.16254803132265813
ppo_turn_left_a20_r05_run03,radius,left,0.5,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run03_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r05_run03_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r05_run03_policy_rerun_summary.json,400,-0.28241795471340436,-1.2069007577255952,-0.004104281120895203,0.23007610289379954,0.18623463055861067,0.17188709306530656,0.14579876768868416,0.0848909276294944,0.012240306257008343,0.2255705437809229,0.17209587492417389,0.1641963531449437,0.14119389258945983,0.08162989543930356,0.009092792571949152,0.18512832140550017,0.11080430131914909,0.12290579257532955,0.10587304926011712,0.05191130607363448,-0.008571056830260205,0.24341553449630737,0.1977420449256897,0.18653907626867294,0.15649349242448807,0.09261156618595123,0.004480316303670406,0.2375028944388033,0.19433688458055257,0.1803026697784658,0.1513665983453395,0.09195431498810644,0.011919051564036632
ppo_turn_left_a20_r05_run04,radius,left,0.5,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run04_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r05_run04_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r05_run04_policy_rerun_summary.json,400,-0.3315158163206485,-0.7981902708364329,-0.0028198606480157374,0.30553978549025484,0.2715706855856115,0.285661500536371,0.22894214178631955,0.046254567310897984,0.17717584682395682,0.3231555458934357,0.30051800965952374,0.3074724686316525,0.2621297802239618,0.053048166730538165,0.21061587342216323,0.33902782229706646,0.334976788428321,0.33758969632908703,0.3262081724125892,0.071220694945805,0.2971630208659917,0.3499999940395355,0.3265193998813629,0.3499999940395355,0.3000754117965698,0.057415131479501724,0.21591639518737793,0.3445830553025004,0.2942607863619927,0.309027666598558,0.24656862078234554,0.05068903215462342,0.19358461542753486
ppo_turn_left_a20_r05_run05,radius,left,0.5,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r05_run05_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r05_run05_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r05_run05_policy_rerun_summary.json,400,-0.11583144083224148,-1.0126520096644653,-0.0005494304330100341,0.20011055305600167,0.18161545801442117,0.18286895556375385,0.07914873451845779,0.08449750165556907,0.04634019403136335,0.2031487314403057,0.18694414337476095,0.1882016963015,0.08719743044581264,0.09222927621536656,0.044324648616214594,0.20323075409978628,0.185264701442793,0.1874458092264831,0.08248160870862194,0.08563322443515062,0.04802252524386859,0.2032547891139984,0.1978404000401497,0.19165121763944626,0.07905487716197968,0.07630812749266624,0.05531789921224117,0.2023521052673455,0.18923221208155208,0.19010080784559222,0.07919419221201678,0.08349196424111159,0.04837593860458575
ppo_turn_left_a20_r07_run01,radius,left,0.7,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r07_run01_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r07_run01_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r07_run01_policy_rerun_summary.json,400,-0.1799549509563695,-0.6933729127234387,-0.0031470419746896716,0.11116954359225929,0.12665086248889565,0.09879478701855987,0.07737318590283394,0.08980800252407789,0.01992401667635022,0.10626187924295664,0.12684264118472735,0.08798600797230999,0.07069807084898154,0.07328175877531369,0.021919974990002325,0.09534414843656122,0.12720375964418054,0.0649369043065235,0.05451236930675805,0.03732053004205227,0.02488861610763706,0.11376351490616798,0.12681522965431213,0.1024162620306015,0.07780826464295387,0.09362107887864113,0.01879444345831871,0.11146929686889066,0.12614879578351956,0.09936606934294105,0.07769271072000246,0.09004694334231302,0.019685826716595328
ppo_turn_left_a20_r07_run02,radius,left,0.7,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r07_run02_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r07_run02_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r07_run02_policy_rerun_summary.json,400,-0.07503229992747718,-0.43337842832097834,-0.000583895863732182,0.17267650071531535,0.14309495769441127,0.14183366886340082,0.08496532397344708,0.07242222007829696,0.061173471217043696,0.17524854538341364,0.14030080676078796,0.14362621775517861,0.07574594169855117,0.08042794882009427,0.06863270005832116,0.17867864770814776,0.1380343443714082,0.1446145622059703,0.06507420781999826,0.08994525340385735,0.0772654328495264,0.17692167311906815,0.15156516432762146,0.1440168172121048,0.08899052068591118,0.06976337730884552,0.05903763882815838,0.1737995407730338,0.1447175214625898,0.1425173473358153,0.08646199127659203,0.07223674732260395,0.06068004252389077
ppo_turn_left_a20_r07_run03,radius,left,0.7,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_left_a20_r07_run03_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r07_run03_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_left_a20_r07_run03_policy_rerun_summary.json,400,-0.23021594644063959,-1.3817414941211306,-0.00026344597049503856,0.17306969489902257,0.1539783668331802,0.13539609966799618,0.0505964000113454,0.08772801717146649,0.032797098811715844,0.16985409386456013,0.1543323094646136,0.12960908046923578,0.0503604183444016,0.08538940410052116,0.024742496128504474,0.1837161577306688,0.15928178876638413,0.14314495760481805,0.05199378314464411,0.09566529655567138,0.04016529263317352,0.18795528262853622,0.1562185287475586,0.14143110066652298,0.05223489925265312,0.08632118254899979,0.032649559900164604,0.1758542626723647,0.15571279011666758,0.13674010228365643,0.05123107761610302,0.0881355419568718,0.03407717281486837
