time,x,y,yaw,reward,velocity_x,velocity_y,steady_state,frequency,phase_lag_1,phase_lag_2,phase_lag_3,phase_lag_4,phase_lag_5
2.000000000000001082e-02,5.999869388042485818e-01,-1.474160362087695297e-03,1.730440712950545579e-02,0.000000000000000000e+00,-2.326764942574166117e-03,-1.314432521801953968e-01,0.000000000000000000e+00,1.080775380134582520e+00,6.278111338615417480e-01,6.219197511672973633e-01,6.040476560592651367e-01,6.386460065841674805e-01,6.664107441902160645e-01
4.000000000000002859e-02,5.998750797330435480e-01,-4.553189618592634602e-03,5.625776710024093380e-02,0.000000000000000000e+00,-5.584979720475008978e-03,-1.456272522738871478e-01,0.000000000000000000e+00,1.001361012458801270e+00,6.306011676788330078e-01,6.205773353576660156e-01,5.618491172790527344e-01,6.749087572097778320e-01,7.783931493759155273e-01
6.000000000000004635e-02,5.996650315408083021e-01,-7.354210305502095757e-03,9.705148332437563141e-02,0.000000000000000000e+00,-7.389543015345850611e-03,-1.344627188494536274e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.184879541397094727e-01,6.019175648689270020e-01,5.425015687942504883e-01,6.669862270355224609e-01,7.853823900222778320e-01
8.000000000000005718e-02,5.994737024511124224e-01,-8.890780742879633713e-03,1.270801370551391252e-01,0.000000000000000000e+00,-7.437071834274346614e-03,-1.112694097256011205e-01,0.000000000000000000e+00,1.000000000000000000e+00,5.956151485443115234e-01,5.690115094184875488e-01,5.175054073333740234e-01,6.446298956871032715e-01,7.802371382713317871e-01
1.000000000000000749e-01,5.993655088851823631e-01,-9.138798342659959495e-03,1.439638641281335563e-01,0.000000000000000000e+00,-6.653242578810043481e-03,-8.659653094638036785e-02,0.000000000000000000e+00,1.011887669563293457e+00,5.739205479621887207e-01,5.411667227745056152e-01,5.042997002601623535e-01,6.150706410408020020e-01,7.491135001182556152e-01
1.200000000000000927e-01,5.993142890224120167e-01,-8.618787963638741001e-03,1.523506833695769391e-01,0.000000000000000000e+00,-5.900114550376314541e-03,-6.634661266895010290e-02,0.000000000000000000e+00,1.049231648445129395e+00,5.709472298622131348e-01,5.397535562515258789e-01,5.205579400062561035e-01,5.954864025115966797e-01,6.939398646354675293e-01
1.400000000000000966e-01,5.992609664996529917e-01,-7.897481837085773559e-03,1.584953278409356736e-01,0.000000000000000000e+00,-5.567257534054258217e-03,-5.189676486755877977e-02,0.000000000000000000e+00,1.072593688964843750e+00,5.800245404243469238e-01,5.520453453063964844e-01,5.421588420867919922e-01,5.937271714210510254e-01,6.621435880661010742e-01
1.600000000000001144e-01,5.991616478143023672e-01,-7.263420509189988383e-03,1.661956818159649740e-01,0.000000000000000000e+00,-5.680577466752300027e-03,-4.177856298442277072e-02,0.000000000000000000e+00,1.072899937629699707e+00,5.842412710189819336e-01,5.571821928024291992e-01,5.459224581718444824e-01,5.974615812301635742e-01,6.627913713455200195e-01
1.800000000000001321e-01,5.990022050602286097e-01,-6.678819463061758110e-03,1.755861950885216072e-01,0.000000000000000000e+00,-6.087849971880546739e-03,-3.364021032124794863e-02,0.000000000000000000e+00,1.065960288047790527e+00,5.831085443496704102e-01,5.551840066909790039e-01,5.402861237525939941e-01,5.990608334541320801e-01,6.720874905586242676e-01
2.000000000000001499e-01,5.987965881662091761e-01,-5.914011379144656910e-03,1.842223780046120252e-01,0.000000000000000000e+00,-6.570381162450450799e-03,-2.555861552797884448e-02,0.000000000000000000e+00,1.067589163780212402e+00,5.807037353515625000e-01,5.520996451377868652e-01,5.384197831153869629e-01,5.956201553344726562e-01,6.684305667877197266e-01
