condition,metric,old_video,old_measured,new_video,new_measured,new_minus_old,pct_change,old_window,new_window
left_r03,R_m,left_r03.mp4,0.2051449956168629,left_r03_run06.mp4,0.24281285867413613,0.03766786305727324,18.361580278381865,2.0-17.766666666666666,2.0-14.766666666666666
left_r05,R_m,left_r05.mp4,0.5330250427488878,left_r05_run05.mp4,0.5065148115451269,-0.026510231203760948,-4.973543281764741,2.0-65.03333333333333,2.0-38.6
left_y05,yaw_rate_abs_rad_s,left_y05.mp4,0.31873972423701386,,,,,2.0-37.833333333333336,
left_y07,yaw_rate_abs_rad_s,left_y07.mp4,0.439738817567706,left_y07_run07.mp4,0.6117558161964756,0.17201699862876957,39.11799271672994,2.0-36.766666666666666,2.0-29.93333333333333
right_r03,R_m,right_r03.mp4,0.2567258050647619,right_r03_run06.mp4,0.19631619996911762,-0.060409605095644275,-23.530788064100253,2.0-34.833333333333336,2.0-26.733333333333334
right_r05,R_m,right_r05.mp4,0.655187568670016,right_r05_run05.mp4,0.6329445839841906,-0.022242984685825418,-3.394903345156119,2.0-66.33333333333333,2.0-27.533333333333335
right_y05,yaw_rate_abs_rad_s,right_y05.mp4,0.35707668998622716,,,,,2.0-56.733333333333334,
right_y07,yaw_rate_abs_rad_s,right_y07.mp4,0.4874987558831101,right_y07_run04.mp4,0.561729725760798,0.07423096987768796,15.226904475523764,2.0-33.2,2.0-31.06666666666667
straight,straight_speed_m_s,string_rl.mp4,0.17982233589687774,stirng.mp4,0.16851630705614737,-0.01130602884073037,-6.287332874606863,4.0-12.0,4.0-12.0
