frame,time_s,length_px,m1_x,m1_y,m1_offset_px,m2_x,m2_y,m2_offset_px,m3_x,m3_y,m3_offset_px,m4_x,m4_y,m4_offset_px,m5_x,m5_y,m5_offset_px
0,0.0,549.0175528914784,445.70200864480034,452.3145181795067,0.0,490.2324865280985,581.6381832178598,-17.14151314840454,513.9547619047619,706.3541666666666,-14.85692057168286,537.3267386091127,851.6546762589928,-8.01972019011695,557.9808238636364,989.7284564393939,0.0
6,0.10108811040339703,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
12,0.20217622080679407,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
18,0.3032643312101911,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
24,0.40435244161358813,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
30,0.5054405520169851,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
36,0.6065286624203822,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
42,0.7076167728237792,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
48,0.8087048832271763,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
54,0.9097929936305733,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
60,1.0108811040339702,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
66,1.1119692144373674,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
72,1.2130573248407643,549.4279022270316,447.3298791018998,450.9686651862817,0.0,488.0093998553868,582.119305856833,-12.80473511290498,509.6570743405275,707.1181055155874,-8.252026712130972,534.2746002460025,851.430196801968,-2.629037954856111,560.4540566959921,988.624633431085,0.0
78,1.3141454352441615,534.5916589442271,422.89908709597825,472.04564520108556,0.0,412.50807217473886,608.4947768281102,42.06487342725849,426.8797953964194,737.498294970162,58.31186506286579,478.28549618320613,872.898982188295,40.053807972114654,548.1262450776002,991.7632615242065,0.0
84,1.4152335456475584,533.5954919413017,419.3220521085146,474.6532366371206,0.0,402.3307926829268,607.9578252032521,47.62717951531416,422.0862610682662,741.5735504141674,59.59459406363305,474.3555555555555,873.6266149870801,39.58107256692348,543.8298514391829,993.5192664809655,0.0
