frame,time_s,detected,confidence,axis_angle_deg,chord_angle_deg,body_bend_angle_deg,lateral_error_px,length_px,center_x,center_y,red_count,black_count,area,score,white_candidate_count,black_blob_count,red_blob_count,bbox,black_area,center,line1_x,line1_y,line2_x,line2_y,line3_x,line3_y,line4_x,line4_y,line5_x,line5_y,line6_x,line6_y,red_area,servo_bboxes,servo_center_count,servo_feature_count
0,0.0,1,1.0,120.17245216603924,120.4874572332555,1.0082838971908075,23.318393812741647,313.2274819484456,532.5358503292512,226.84171962867643,3,16,5813.92,33963.92,2,44,9,"(430, 26, 244, 309)",6092.5,"(559.4153806613488, 189.7806568996612)",602.6966666666666,96.36,573.6949685534591,165.7138364779874,553.4109589041096,199.64383561643837,500.2552225249773,253.10036330608537,493.0899653979239,328.4896193771626,443.780788477969,366.2807274502624,485.0,"[(597, 91, 11, 11), (568, 162, 12, 9), (550, 195, 7, 9), (488, 241, 31, 23), (482, 309, 22, 40), (416, 348, 64, 36)]",6,15
3,0.2,1,1.0,120.9820381237516,120.68985596504915,2.306397474034185,24.523251995125293,313.775703438331,527.278615914858,231.1729186007291,5,18,8709.42,46112.65753789793,1,47,8,"(423, 26, 252, 372)",6075.0,"(550.5634039397, 211.42146265132234)",602.6966666666666,96.36,573.7254901960785,165.5065359477124,553.4464285714286,199.79166666666666,502.17274569402224,252.95035460992904,493.36068376068374,328.6250712250712,442.5484733361474,366.18910932883074,614.5,"[(597, 91, 11, 11), (568, 162, 12, 9), (551, 195, 6, 9), (487, 242, 34, 22), (482, 309, 22, 40), (416, 348, 57, 36)]",6,16
6,0.4,1,1.0,120.21027671534787,120.91535064632845,1.0071761495727856,24.155422470228174,309.01615185457837,523.7053126261836,236.39029742320741,4,19,8570.24,47365.6908276122,1,47,7,"(423, 31, 252, 367)",6154.5,"(551.1576307466694, 209.22586777626873)",601.6346153846154,101.12820512820511,574.2435897435897,166.0160256410256,553.0542635658915,199.75968992248062,501.5,252.3060796645702,493.7317487266553,328.32710809281264,442.87103915871035,366.24159402241594,557.0,"[(593, 91, 15, 21), (568, 162, 12, 10), (551, 196, 5, 8), (487, 242, 32, 19), (482, 309, 23, 40), (416, 348, 62, 36)]",6,17
9,0.6,1,1.0,120.1814880781465,120.82670309659615,0.8420467204501847,23.880417170264064,308.465117780881,536.1960754403789,222.481490953496,4,18,8402.16,44986.90401726428,1,48,7,"(423, 31, 247, 367)",5846.5,"(545.5557695760348, 214.40326130324027)",601.6440129449837,101.18122977346277,574.9102564102564,166.13141025641022,553.1111111111111,200.16666666666666,501.453125,252.27916666666664,493.72165532879814,328.6320861678004,443.5731814198072,366.0667543090856,567.0,"[(593, 91, 15, 21), (569, 162, 12, 10), (551, 197, 5, 7), (487, 242, 32, 19), (482, 310, 23, 39), (416, 348, 62, 36)]",6,16
12,0.8,1,1.0,119.42624839536592,120.32297919315997,0.8873316336725452,23.094262585164685,312.41215643285676,544.2139578792556,207.71229920902817,5,17,8466.1,43695.91605477596,1,43,9,"(424, 26, 250, 371)",5994.5,"(550.4644722107422, 205.58552068300483)",602.6960784313726,96.81372549019608,574.3575757575757,165.96666666666667,553.1626016260162,200.21138211382112,501.9263157894737,252.166081871345,494.14032073310415,328.15635738831617,444.96734745335345,366.48575390821986,615.0,"[(596, 91, 12, 12), (568, 162, 12, 10), (551, 197, 5, 7), (488, 242, 31, 19), (484, 310, 21, 38), (416, 348, 62, 37)]",6,15
15,1.0,1,1.0,75.90240468907812,75.46924457925392,69.30846154059813,215.35323261325755,326.1725186236451,471.99378038376096,200.0396636423588,5,22,8483.48,48264.48137390343,1,51,7,"(401, 26, 270, 389)",5256.0,"(530.5119062631059, 233.72975122691517)",364.06451612903226,59.575268817204304,599.109375,108.09375,554.3163841807909,201.135593220339,478.7676438653637,260.3941368078176,471.99008168028007,345.58401400233373,445.9010880316518,375.31454005934717,542.0,"[(344, 58, 40, 4), (593, 106, 12, 6), (551, 197, 8, 9), (461, 251, 34, 21), (430, 310, 76, 58), (438, 369, 16, 14)]",6,20
18,1.2,1,1.0,49.99034160207884,66.40187229197062,41.07058141573494,117.71770313536913,375.11534394448574,459.2926222110068,217.96403907405303,6,22,12567.5,57964.51824046062,1,47,8,"(375, 26, 297, 446)",5712.5,"(522.0706505830138, 284.5240019055118)",364.01063829787233,59.56382978723404,356.20375,108.62875,479.07229500242596,260.1392527899078,554.3163841807909,201.135593220339,519.1706349206348,289.2688492063492,514.1764705882352,403.31045751633985,620.5,"[(344, 58, 40, 4), (335, 97, 40, 21), (461, 250, 35, 22), (551, 197, 8, 9), (514, 272, 10, 33), (510, 400, 9, 8)]",6,18
21,1.4,1,1.0,120.98743903227162,119.46666542877485,-6.492279741066511,23.560420673611294,319.9978086956337,515.7602508780883,246.01116402398776,7,22,12745.28,57488.773539460584,1,46,9,"(375, 26, 297, 422)",6729.5,"(522.284407083012, 281.27780176589516)",603.1234567901234,96.81481481481481,574.4444444444443,165.98039215686273,554.3551912568306,201.0983606557377,485.4071246819338,257.26535805161757,495.66126126126125,295.9153153153153,445.71106094808124,375.418359668924,675.5,"[(600, 92, 8, 11), (568, 162, 12, 10), (551, 197, 8, 9), (461, 241, 59, 30), (490, 288, 15, 17), (434, 369, 22, 15)]",6,17
24,1.6,1,1.0,125.1436046158463,121.1966273524936,-50.72261000709642,175.39358225571783,336.59063521306916,495.88462126349106,226.82355424298365,6,31,13117.42,67211.58738918077,2,57,7,"(377, 19, 314, 429)",7262.5,"(525.2004443085194, 281.2382525361369)",621.8460925039872,89.08213716108452,585.8558558558558,140.64864864864865,554.2303030303029,201.8121212121212,371.133097762073,164.50058892815076,477.4072442486539,260.8908467939305,447.5,377.0,551.5,"[(612, 76, 20, 25), (583, 139, 7, 5), (551, 198, 8, 8), (361, 159, 20, 11), (456, 252, 38, 17), (440, 371, 16, 13)]",6,24
27,1.8,1,1.0,76.57743850767888,75.21908717119798,67.75563950303581,241.80081309051587,328.6139646817304,467.96886830161475,198.32175797516703,5,23,10679.4,51108.880897882635,1,48,6,"(377, 18, 313, 432)",6923.5,"(519.5035078408423, 289.7707376846125)",363.5,59.5,621.1615023474178,88.24788732394366,554.6428571428571,201.28571428571428,476.9359673024523,261.3124432334241,495.72190476190474,296.3733333333333,447.3371980676328,377.23961352657,507.5,"[(344, 58, 40, 4), (612, 76, 17, 21), (552, 197, 7, 9), (457, 252, 38, 18), (490, 289, 15, 16), (440, 371, 16, 13)]",6,17
