time,x,y,yaw
9.656000000000087624e+00,4.449878201178900650e-01,3.542590309581922225e-02,-7.289878505983079293e+00
9.657000000000087070e+00,4.450981465348554100e-01,3.509047812841198377e-02,-7.291338453638197770e+00
9.658000000000086516e+00,4.452090388054710246e-01,3.475453168720732400e-02,-7.292775697342970709e+00
9.659000000000085961e+00,4.453204955441524282e-01,3.441807170282679129e-02,-7.294190180413099966e+00
9.660000000000085407e+00,4.454325155568593098e-01,3.408110611718706551e-02,-7.295581847714310619e+00
9.661000000000084853e+00,4.455450978402641371e-01,3.374364287981440613e-02,-7.296950645685072345e+00
9.662000000000084299e+00,4.456582415807693875e-01,3.340568994391562851e-02,-7.298296522358103111e+00
9.663000000000083745e+00,4.457719461533975469e-01,3.306725526223003309e-02,-7.299619427380661385e+00
9.664000000000083190e+00,4.458862111205739720e-01,3.272834678268715658e-02,-7.300919312033641084e+00
9.665000000000082636e+00,4.460010362308229337e-01,3.238897244389044028e-02,-7.302196129249480805e+00
9.666000000000082082e+00,4.461164214173947706e-01,3.204914017044890873e-02,-7.303449833628919308e+00
9.667000000000081528e+00,4.462323667968399743e-01,3.170885786817362328e-02,-7.304680381456627458e+00
9.668000000000080973e+00,4.463488726675453044e-01,3.136813341915734021e-02,-7.305887730715745931e+00
9.669000000000080419e+00,4.464659395082457571e-01,3.102697467675219478e-02,-7.307071841101374865e+00
9.670000000000079865e+00,4.465835679765238764e-01,3.068538946046084348e-02,-7.308232674033049214e+00
9.671000000000079311e+00,4.467017589073080663e-01,3.034338555075338784e-02,-7.309370192666245991e+00
9.672000000000078757e+00,4.468205133113788419e-01,3.000097068382334697e-02,-7.310484361902964245e+00
9.673000000000078202e+00,4.469398323738918988e-01,2.965815254629339259e-02,-7.311575148401420421e+00
9.674000000000077648e+00,4.470597174529249984e-01,2.931493876988178204e-02,-7.312642520584900829e+00
9.675000000000077094e+00,4.471801700780555500e-01,2.897133692603964805e-02,-7.313686448649815652e+00
9.676000000000076540e+00,4.473011919489732202e-01,2.862735452056736074e-02,-7.314706904572992663e+00
9.677000000000075985e+00,4.474227849341322338e-01,2.828299898821995395e-02,-7.315703862118248857e+00
9.678000000000075431e+00,4.475449510694458066e-01,2.793827768730988703e-02,-7.316677296842281741e+00
9.679000000000074877e+00,4.476676925570258758e-01,2.759319789431419201e-02,-7.317627186099906034e+00
9.680000000000074323e+00,4.477910117639671839e-01,2.724776679849572059e-02,-7.318553509048678407e+00
9.681000000000073769e+00,4.479149112211773254e-01,2.690199149654615152e-02,-7.319456246652931597e+00
9.682000000000073214e+00,4.480393936222506479e-01,2.655587898725858542e-02,-7.320335381687248955e+00
9.683000000000072660e+00,4.481644618223838417e-01,2.620943616623883088e-02,-7.321190898739400765e+00
9.684000000000072106e+00,4.482901188373299428e-01,2.586266982066537379e-02,-7.322022784212764535e+00
9.685000000000071552e+00,4.484163678423852550e-01,2.551558662410591261e-02,-7.322831026328242565e+00
9.686000000000070997e+00,4.485432121714048037e-01,2.516819313140356007e-02,-7.323615615125691924e+00
9.687000000000070443e+00,4.486706553158371635e-01,2.482049577364170423e-02,-7.324376542464874795e+00
9.688000000000069889e+00,4.487987009237719427e-01,2.447250085320240576e-02,-7.325113802025937204e+00
9.689000000000069335e+00,4.489273527989878221e-01,2.412421453893076606e-02,-7.325827389309409909e+00
9.690000000000068781e+00,4.490566148999917129e-01,2.377564286142069827e-02,-7.326517301635737667e+00
9.691000000000068226e+00,4.491864913390334335e-01,2.342679170843975367e-02,-7.327183538144324437e+00
9.692000000000067672e+00,4.493169863810830833e-01,2.307766682051015650e-02,-7.327826099792081216e+00
9.693000000000067118e+00,4.494481044427526273e-01,2.272827378666686382e-02,-7.328444989351466710e+00
9.694000000000066564e+00,4.495798500911439843e-01,2.237861804041407776e-02,-7.329040211407994221e+00
9.695000000000066009e+00,4.497122280426027463e-01,2.202870485590385785e-02,-7.329611772357190524e+00
9.696000000000065455e+00,4.498452431613549907e-01,2.167853934436192453e-02,-7.330159680400972988e+00
9.697000000000064901e+00,4.499789004580023732e-01,2.132812645078757674e-02,-7.330683945543416513e+00
9.698000000000064347e+00,4.501132050878495772e-01,2.097747095095453540e-02,-7.331184579585880101e+00
9.699000000000063793e+00,4.502481623490345863e-01,2.062657744874307753e-02,-7.331661596121458402e+00
9.700000000000063238e+00,4.503837776804325288e-01,2.027545037383132742e-02,-7.332115010528722721e+00
9.701000000000062684e+00,4.505200566586936572e-01,1.992409398104000307e-02,-7.332544839958775817e+00
9.702000000000062130e+00,4.506570049943232070e-01,1.957251235153617541e-02,-7.332951103307042473e+00
9.703000000000061576e+00,4.507946285278848775e-01,1.922070939359460384e-02,-7.333333821196021951e+00
9.704000000000061021e+00,4.509329332266527879e-01,1.886868884217168807e-02,-7.333693015966016304e+00
9.705000000000060467e+00,4.510719251810302310e-01,1.851645425860631855e-02,-7.334028711665043332e+00
9.706000000000059913e+00,4.512116106004558924e-01,1.816400903096121455e-02,-7.334340934037891557e+00
9.707000000000059359e+00,4.513519958088357820e-01,1.781135637484809742e-02,-7.334629710514333212e+00
9.708000000000058805e+00,4.514930872394588013e-01,1.745849933472687354e-02,-7.334895070196551181e+00
9.709000000000058250e+00,4.516348914293575323e-01,1.710544078565268133e-02,-7.335137043845839422e+00
9.710000000000057696e+00,4.517774150130671185e-01,1.675218343543083410e-02,-7.335355663868695864e+00
9.711000000000057142e+00,4.519206647157339440e-01,1.639872982712253791e-02,-7.335550964302458787e+00
9.712000000000056588e+00,4.520646473455158798e-01,1.604508234182489002e-02,-7.335722980800700732e+00
9.713000000000056033e+00,4.522093697852015426e-01,1.569124320163295394e-02,-7.335871750618656151e+00
9.714000000000055479e+00,4.523548389829589178e-01,1.533721447267188953e-02,-7.335997312599053188e+00
9.715000000000054925e+00,4.525010619420937186e-01,1.498299806807501522e-02,-7.336099707158809657e+00
9.716000000000054371e+00,4.526480457096614396e-01,1.462859575077118945e-02,-7.336178976277190067e+00
9.717000000000053817e+00,4.527957973637259936e-01,1.427400913594145671e-02,-7.336235163486164446e+00
9.718000000000053262e+00,4.529443239989964232e-01,1.391923969300523645e-02,-7.336268313863882007e+00
9.719000000000052708e+00,4.530936327104924111e-01,1.356428874700488230e-02,-7.336278474032388530e+00
9.720000000000052154e+00,4.532437305747056278e-01,1.320915747685708075e-02,-7.336265692181189735e+00
9.721000000000051600e+00,4.533946246273281577e-01,1.285384690225666038e-02,-7.336230018260654795e+00
9.722000000000051045e+00,4.535463218374110039e-01,1.249835787336200932e-02,-7.336171504160948764e+00
9.723000000000050491e+00,4.536988290772322463e-01,1.214269106376653085e-02,-7.336090203747954064e+00
9.724000000000049937e+00,4.538521530872142717e-01,1.178684696986670444e-02,-7.335986172900702762e+00
9.725000000000049383e+00,4.540063004345991637e-01,1.143082590738409010e-02,-7.335859469565334301e+00
9.726000000000048828e+00,4.541612774649503859e-01,1.107462800686437321e-02,-7.335710153828467028e+00
9.727000000000048274e+00,4.543170902455058724e-01,1.071825320814923099e-02,-7.335538288012812380e+00
9.728000000000047720e+00,4.544737444995269326e-01,1.036170125386309815e-02,-7.335343936797444897e+00
9.729000000000047166e+00,4.546312455310497769e-01,1.000497168205549681e-02,-7.335127167364195344e+00
9.730000000000046612e+00,4.547895981399179277e-01,9.648063818339880360e-03,-7.334888049569932456e+00
9.731000000000046057e+00,4.549488065277158544e-01,9.290976768221048676e-03,-7.334626656141678858e+00
9.732000000000045503e+00,4.551088741963214002e-01,8.933709410864187905e-03,-7.334343062887326070e+00
