time,x,y,yaw
1.000000000000000021e-03,5.999999999007816776e-01,-4.265285899307524886e-06,4.625683776794637059e-05
2.000000000000000042e-03,5.999999980031854863e-01,-1.699277811961774631e-05,1.839598054625744914e-04
3.000000000000000062e-03,5.999999906706763309e-01,-3.798990254633149988e-05,4.116806921590810157e-04
4.000000000000000083e-03,5.999999716683844797e-01,-6.707242731512907952e-05,7.278866901818934788e-04
5.000000000000000104e-03,5.999999326404376054e-01,-1.040474293763082869e-04,1.130945743718114608e-03
6.000000000000000125e-03,5.999998633408177851e-01,-1.487137368889612787e-04,1.619131897469781867e-03
7.000000000000000146e-03,5.999997518621360548e-01,-2.008623795099473419e-04,2.190630635992551426e-03
8.000000000000000167e-03,5.999995848703041368e-01,-2.602770464363302061e-04,2.843544205083128797e-03
9.000000000000001055e-03,5.999993478342759978e-01,-3.267345518779829483e-04,3.575896907310196007e-03
1.000000000000000194e-02,5.999990252602844798e-01,-4.000053076829157561e-04,4.385640363983164466e-03
1.100000000000000283e-02,5.999986009250618535e-01,-4.798538027763754599e-04,5.270658735114600382e-03
1.200000000000000372e-02,5.999980581019207504e-01,-5.660390884592580996e-04,6.228773893281203296e-03
1.300000000000000461e-02,5.999973797731517067e-01,-6.583152686403526133e-04,7.257750544313089705e-03
1.400000000000000550e-02,5.999965488388402379e-01,-7.564319944990405276e-04,8.355301288725669115e-03
1.500000000000000638e-02,5.999955483160304137e-01,-8.601349624871024169e-04,9.519091618724322135e-03
1.600000000000000727e-02,5.999943615273143349e-01,-9.691664146334599828e-04,1.074674484567708296e-02
1.700000000000000816e-02,5.999929722779453467e-01,-1.083265640055286472e-03,1.203584695321202429e-02
1.800000000000000905e-02,5.999913650206638582e-01,-1.202169476518688551e-03,1.338395137132840362e-02
1.900000000000000994e-02,5.999895250075761854e-01,-1.325612810856524604e-03,1.478858366711889756e-02
2.000000000000001082e-02,5.999874384285748263e-01,-1.453329077017173621e-03,1.624724614788971774e-02
2.100000000000001171e-02,5.999850925359375697e-01,-1.585050750505190287e-03,1.775742237264089224e-02
2.200000000000001260e-02,5.999824757548863907e-01,-1.720509837966288647e-03,1.931658156803543400e-02
2.300000000000001349e-02,5.999795777800311924e-01,-1.859438360677589941e-03,2.092218294514777352e-02
2.400000000000001438e-02,5.999763896577768874e-01,-2.001568829224364965e-03,2.257167991640696147e-02
2.500000000000001527e-02,5.999729038549139748e-01,-2.146634706972072593e-03,2.426252421717063623e-02
2.600000000000001615e-02,5.999691143136565152e-01,-2.294370864301287227e-03,2.599216991433053042e-02
2.700000000000001704e-02,5.999650164935177443e-01,-2.444514023809518655e-03,2.775807729686922964e-02
2.800000000000001793e-02,5.999606074005325862e-01,-2.596803194514940571e-03,2.955771665097595494e-02
2.900000000000001882e-02,5.999558856044281407e-01,-2.750980092978527747e-03,3.138857191711540845e-02
3.000000000000001971e-02,5.999508512196436438e-01,-2.906789552206023863e-03,3.324814422864590807e-02
3.100000000000002059e-02,5.999455058585031475e-01,-3.063979916978432083e-03,3.513395533430408585e-02
3.200000000000002148e-02,5.999398525981184394e-01,-3.222303422298122833e-03,3.704355088428614579e-02
3.300000000000002237e-02,5.999338959799548343e-01,-3.381516553042696049e-03,3.897450359083542981e-02
3.400000000000002326e-02,5.999276419630406032e-01,-3.541380389115222904e-03,4.092441626305406283e-02
3.500000000000002415e-02,5.999210978677206318e-01,-3.701660933280670474e-03,4.289092471205502993e-02
3.600000000000002504e-02,5.999142723122220522e-01,-3.862129421083992931e-03,4.487170052531657544e-02
3.700000000000002592e-02,5.999071751417800469e-01,-4.022562612774727153e-03,4.686445370787933884e-02
3.800000000000002681e-02,5.998998173511758125e-01,-4.182743067344507626e-03,4.886693518412313364e-02
3.900000000000002770e-02,5.998922110015760811e-01,-4.342459397414621947e-03,5.087693916910512870e-02
4.000000000000002859e-02,5.998843691325475014e-01,-4.501506504541397113e-03,5.289230541180659634e-02
4.100000000000002948e-02,5.998763056700989749e-01,-4.659685794905388256e-03,5.491092130578595354e-02
4.200000000000003036e-02,5.998680353315842817e-01,-4.816805375722377214e-03,5.693072386734025769e-02
4.300000000000003125e-02,5.998595735282800101e-01,-4.972680232286419422e-03,5.894970158167628371e-02
4.400000000000003214e-02,5.998509362664250499e-01,-5.127132385707611206e-03,6.096589611780486168e-02
4.500000000000003303e-02,5.998421400474731602e-01,-5.279991031471864549e-03,6.297740391307872498e-02
4.600000000000003392e-02,5.998332017682653783e-01,-5.431092659004266299e-03,6.498237762849609633e-02
4.700000000000003481e-02,5.998241386217806337e-01,-5.580281152470445427e-03,6.697902747609091323e-02
4.800000000000003569e-02,5.998149680071476197e-01,-5.727407887157198729e-03,6.896562239062183075e-02
4.900000000000003658e-02,5.998057075386860060e-01,-5.872331998631741268e-03,7.094049051298198516e-02
5.000000000000003747e-02,5.997963748506938142e-01,-6.014920274268753531e-03,7.290202035617707188e-02
5.100000000000003836e-02,5.997869874713628313e-01,-6.155047129319413113e-03,7.484866227641324976e-02
5.200000000000003925e-02,5.997775626781403080e-01,-6.292594496326353593e-03,7.677892920104423258e-02
5.300000000000004013e-02,5.997681174427216266e-01,-6.427451850869014827e-03,7.869139722903308043e-02
5.400000000000004102e-02,5.997586683599493984e-01,-6.559516193426928599e-03,8.058470610654516753e-02
5.500000000000004191e-02,5.997492315775130312e-01,-6.688692019027164815e-03,8.245755958141147424e-02
5.600000000000004280e-02,5.997398227238064372e-01,-6.814891265599087866e-03,8.430872565747955794e-02
5.700000000000004369e-02,5.997304568248601475e-01,-6.938032899071522319e-03,8.613703748394903326e-02
5.800000000000004458e-02,5.997211480530334482e-01,-7.058042422645849356e-03,8.794139453181544497e-02
5.900000000000004546e-02,5.997119099861314417e-01,-7.174851513815416748e-03,8.972076315045325601e-02
6.000000000000004635e-02,5.997027559464279678e-01,-7.288398004059670754e-03,9.147417683376699027e-02
6.100000000000004724e-02,5.996936990316044103e-01,-7.398625931606839234e-03,9.320073558727835772e-02
6.200000000000004813e-02,5.996847518640817665e-01,-7.505485518549681601e-03,9.489960529622737395e-02
6.300000000000004208e-02,5.996759263085366110e-01,-7.608933091613534483e-03,9.657001728680611463e-02
6.400000000000004297e-02,5.996672334636670154e-01,-7.708930940962754885e-03,9.821126777288587129e-02
6.500000000000004385e-02,5.996586836852532132e-01,-7.805447200402493291e-03,9.982271715910392973e-02
6.600000000000004474e-02,5.996502866394337605e-01,-7.898455745618704338e-03,1.014037892951224484e-01
6.700000000000004563e-02,5.996420509768779494e-01,-7.987936054804634090e-03,1.029539706182032444e-01
6.800000000000004652e-02,5.996339844034320743e-01,-8.073873044765478291e-03,1.044728087526806265e-01
6.900000000000004741e-02,5.996260936567776589e-01,-8.156256920686166811e-03,1.059599114720605334e-01
7.000000000000004829e-02,5.996183848247051973e-01,-8.235083071878812611e-03,1.074149457353311132e-01
7.100000000000004918e-02,5.996108632467924693e-01,-8.310351925627235126e-03,1.088376365591962047e-01
7.200000000000005007e-02,5.996035336448105602e-01,-8.382068602788894651e-03,1.102277663641815231e-01
7.300000000000005096e-02,5.995964001246241182e-01,-8.450242866287260846e-03,1.115851737093429275e-01
7.400000000000005185e-02,5.995894662205171199e-01,-8.514888999507974621e-03,1.129097515204883218e-01
7.500000000000005274e-02,5.995827348800195633e-01,-8.576025772010942294e-03,1.142014457297345770e-01
7.600000000000005362e-02,5.995762085202728242e-01,-8.633676274466761669e-03,1.154602538711320681e-01
7.700000000000005451e-02,5.995698888826849204e-01,-8.687867799703596905e-03,1.166862237589539747e-01
7.800000000000005540e-02,5.995637769540852480e-01,-8.738631702468746543e-03,1.178794522269118600e-01
7.900000000000005629e-02,5.995578729247852401e-01,-8.786003253941410129e-03,1.190400833478165721e-01
8.000000000000005718e-02,5.995521764343075821e-01,-8.830021462704618074e-03,1.201683067574534636e-01
8.100000000000005806e-02,5.995466865599631268e-01,-8.870728929776472427e-03,1.212643560277756882e-01
8.200000000000005895e-02,5.995414018421082458e-01,-8.908171691976718432e-03,1.223285070387308549e-01
8.300000000000005984e-02,5.995363203101246041e-01,-8.942399060362704599e-03,1.233610763258818216e-01
8.400000000000006073e-02,5.995314395087505410e-01,-8.973463457513208841e-03,1.243624194053706278e-01
8.500000000000006162e-02,5.995267565246649166e-01,-9.001420253112013548e-03,1.253329290790961281e-01
8.600000000000006251e-02,5.995222679881736516e-01,-9.026327593627259116e-03,1.262730336888807925e-01
8.700000000000006339e-02,5.995179698740820129e-01,-9.048246192292663803e-03,1.271831948701568904e-01
8.800000000000006428e-02,5.995138577773427846e-01,-9.067239203174037865e-03,1.280639061165967929e-01
8.900000000000006517e-02,5.995099270307455708e-01,-9.083372068218242834e-03,1.289156915824143101e-01
9.000000000000006606e-02,5.995061728205606233e-01,-9.096712367510972896e-03,1.297391042703502084e-01
9.100000000000006695e-02,5.995025901207122754e-01,-9.107329636005467854e-03,1.305347242256396090e-01
9.200000000000006783e-02,5.994991736844399455e-01,-9.115295189690342248e-03,1.313031567367667352e-01
9.300000000000006872e-02,5.994959180455636805e-01,-9.120681953169895717e-03,1.320450305431690174e-01
9.400000000000006961e-02,5.994928175311287077e-01,-9.123564288849750348e-03,1.327609960501159592e-01
9.500000000000007050e-02,5.994898662954882829e-01,-9.124017828631536542e-03,1.334517235575501948e-01
9.600000000000007139e-02,5.994870583720661728e-01,-9.122119312479637365e-03,1.341179015441442413e-01
9.700000000000007228e-02,5.994843875328522698e-01,-9.117946413476352152e-03,1.347602350108867975e-01
9.800000000000007316e-02,5.994818472639119600e-01,-9.111577558741257299e-03,1.353794434613245501e-01
9.900000000000007405e-02,5.994794308184477893e-01,-9.103091767401316758e-03,1.359762590946121952e-01
1.000000000000000749e-01,5.994771314428579689e-01,-9.092568509182497039e-03,1.365514252937060635e-01
1.010000000000000758e-01,5.994749423507262920e-01,-9.080087554349858259e-03,1.371056950101708916e-01
1.020000000000000767e-01,5.994728567151565990e-01,-9.065728821981422492e-03,1.376398291527066442e-01
1.030000000000000776e-01,5.994708676872476660e-01,-9.049572233954583655e-03,1.381545950240672949e-01
1.040000000000000785e-01,5.994689684152162412e-01,-9.031697570146046683e-03,1.386507647966663259e-01
1.050000000000000794e-01,5.994671520621752681e-01,-9.012184327637118297e-03,1.391291140209809374e-01
1.060000000000000803e-01,5.994654118222880745e-01,-8.991111583825095455e-03,1.395904201662454269e-01
1.070000000000000812e-01,5.994637409352641111e-01,-8.968557863473725078e-03,1.400354611938064431e-01
1.080000000000000820e-01,5.994621326992419785e-01,-8.944601009843178296e-03,1.404650141639719463e-01
1.090000000000000829e-01,5.994605804821373507e-01,-8.919318060045366980e-03,1.408798538774035936e-01
1.100000000000000838e-01,5.994590777315338403e-01,-8.892785124775426375e-03,1.412807515521853352e-01
1.110000000000000847e-01,5.994576179831484497e-01,-8.865077272620924820e-03,1.416684735376677329e-01
1.120000000000000856e-01,5.994561948677585850e-01,-8.836268419961601506e-03,1.420437800655585669e-01
1.130000000000000865e-01,5.994548021140888583e-01,-8.806431234229694649e-03,1.424074240328654928e-01
1.140000000000000874e-01,5.994534335561544358e-01,-8.775637040169315117e-03,1.427601498224724819e-01
1.150000000000000883e-01,5.994520830995233585e-01,-8.743955726612073764e-03,1.431026922003622581e-01
1.160000000000000892e-01,5.994507446978176723e-01,-8.711455648402477436e-03,1.434357753057344809e-01
1.170000000000000900e-01,5.994494123534894747e-01,-8.678203534769057814e-03,1.437601115340657876e-01
1.180000000000000909e-01,5.994480801990429431e-01,-8.644264405573365284e-03,1.440764005150513838e-01
1.190000000000000918e-01,5.994467424893532570e-01,-8.609701491312682364e-03,1.443853281601350236e-01
1.200000000000000927e-01,5.994453936057686505e-01,-8.574576158978941542e-03,1.446875657547204153e-01
1.210000000000000936e-01,5.994440280597004289e-01,-8.538947843508559732e-03,1.449837690955505798e-01
1.220000000000000945e-01,5.994426404957399201e-01,-8.502873984796210927e-03,1.452745776736600603e-01
1.230000000000000954e-01,5.994412256943364437e-01,-8.466409970231292270e-03,1.455606139032219193e-01
1.240000000000000963e-01,5.994397785740740447e-01,-8.429609082704014877e-03,1.458424823965296102e-01
1.250000000000000833e-01,5.994382941935766373e-01,-8.392522454017559141e-03,1.461207692852709572e-01
1.260000000000000842e-01,5.994367677530765270e-01,-8.355199023629411581e-03,1.463960415881707944e-01
1.270000000000000850e-01,5.994351945956762906e-01,-8.317685502638005879e-03,1.466688466249973233e-01
1.280000000000000859e-01,5.994335702083319894e-01,-8.280026342919022397e-03,1.469397114768481172e-01
1.290000000000000868e-01,5.994318902225861390e-01,-8.242263711308206453e-03,1.472091424925537073e-01
1.300000000000000877e-01,5.994301504150765236e-01,-8.204437468719183446e-03,1.474776248409592205e-01
1.310000000000000886e-01,5.994283467078443950e-01,-8.166585154078420672e-03,1.477456221087703747e-01
1.320000000000000895e-01,5.994264751684643677e-01,-8.128741972951547545e-03,1.480135759435766418e-01
1.330000000000000904e-01,5.994245320100182184e-01,-8.090940790731082632e-03,1.482819057415936947e-01
1.340000000000000913e-01,5.994225135909304614e-01,-8.053212130249565170e-03,1.485510083795984482e-01
1.350000000000000921e-01,5.994204164146853531e-01,-8.015584173677703372e-03,1.488212579904641397e-01
1.360000000000000930e-01,5.994182371294400902e-01,-7.978082768563543592e-03,1.490930057816390597e-01
1.370000000000000939e-01,5.994159725275509665e-01,-7.940731437866388465e-03,1.493665798958521695e-01
1.380000000000000948e-01,5.994136195450263660e-01,-7.903551393833807559e-03,1.496422853132702568e-01
1.390000000000000957e-01,5.994111752609175836e-01,-7.866561555572526565e-03,1.499204037942770407e-01
1.400000000000000966e-01,5.994086368966621281e-01,-7.829778570157708284e-03,1.502011938619920439e-01
1.410000000000000975e-01,5.994060018153876124e-01,-7.793216837127248109e-03,1.504848908235983940e-01
1.420000000000000984e-01,5.994032675211867778e-01,-7.756888536207040552e-03,1.507717068295027218e-01
1.430000000000000993e-01,5.994004316583723124e-01,-7.720803658110786394e-03,1.510618309693074757e-01
1.440000000000001001e-01,5.993974920107193460e-01,-7.684970038261407232e-03,1.513554294035364955e-01
1.450000000000001010e-01,5.993944465007007283e-01,-7.649393393279191322e-03,1.516526455300174492e-01
1.460000000000001019e-01,5.993912931887233064e-01,-7.614077360084681168e-03,1.519536001837919481e-01
1.470000000000001028e-01,5.993880302723677556e-01,-7.579023537464535387e-03,1.522583918693924954e-01
1.480000000000001037e-01,5.993846560856369576e-01,-7.544231529951150872e-03,1.525670970242986313e-01
1.490000000000001046e-01,5.993811690982169260e-01,-7.509698993867941486e-03,1.528797703123594975e-01
1.500000000000001055e-01,5.993775679147501645e-01,-7.475421685395555738e-03,1.531964449459485289e-01
1.510000000000001064e-01,5.993738512741261237e-01,-7.441393510515259546e-03,1.535171330355967478e-01
1.520000000000001072e-01,5.993700180487864237e-01,-7.407606576689651501e-03,1.538418259658357323e-01
1.530000000000001081e-01,5.993660672440476178e-01,-7.374051246142765415e-03,1.541704947959675331e-01
1.540000000000001090e-01,5.993619979974379453e-01,-7.340716190605001135e-03,1.545030906844692131e-01
1.550000000000001099e-01,5.993578095780501824e-01,-7.307588447390822584e-03,1.548395453357313545e-01
1.560000000000001108e-01,5.993535013859050409e-01,-7.274653476681103292e-03,1.551797714678258000e-01
1.570000000000001117e-01,5.993490729513245574e-01,-7.241895219883887069e-03,1.555236632999951185e-01
1.580000000000001126e-01,5.993445239343129227e-01,-7.209296158952438471e-03,1.558710970585572841e-01
1.590000000000001135e-01,5.993398541239385313e-01,-7.176837376540512459e-03,1.562219314999214737e-01
1.600000000000001144e-01,5.993350634321906734e-01,-7.144498616849681571e-03,1.565760084533883434e-01
