condition,direction,command_type,target,trial_count,total_complete_laps,mean,std,unit,error,percent_error
forward_v017,forward,straight_speed,0.17,3,0,0.17351956955932177,0.004588578758117316,m/s,0.0035195695593217557,2.0703350348951504
left_r03,left,turn_radius,0.3,6,11,0.3393847067569977,0.0595387106875354,m,0.039384706756997734,13.12823558566591
left_r05,left,turn_radius,0.5,4,6,0.5617747454159965,0.06459291085581013,m,0.06177474541599648,12.354949083199296
left_y05,left,yaw_rate,0.5,5,5,0.3460291355619891,0.02763383942019931,rad/s,-0.1539708644380109,-30.79417288760218
left_y07,left,yaw_rate,0.7,4,8,0.49232208608636585,0.03843058438740831,rad/s,-0.2076779139136341,-29.668273416233443
right_r03,right,turn_radius,0.3,4,8,0.25040506966358816,0.03217062846131401,m,-0.049594930336411824,-16.53164344547061
right_r05,right,turn_radius,0.5,3,4,0.6011492032024334,0.046958187389232665,m,0.10114920320243337,20.229840640486675
right_y05,right,yaw_rate,0.5,3,5,0.3889683685219664,0.03379074346014538,rad/s,-0.11103163147803358,-22.206326295606715
right_y07,right,yaw_rate,0.7,4,8,0.5017250523193867,0.0314251678167193,rad/s,-0.19827494768061327,-28.3249925258019
