frame,time_s,point,x,y,area
0,0.0,0,682.7727272727273,225.6818181818182,44
0,0.0,1,664.2264150943396,214.67924528301887,53
0,0.0,2,644.42,206.02,50
0,0.0,3,625.5,203.5,36
0,0.0,4,605.0416666666666,202.25,48
0,0.0,5,585.1428571428571,207.8095238095238,21
0,0.0,6,566.6818181818181,218.9318181818182,44
1,0.03333333333333333,0,680.3454545454546,226.45454545454547,55
1,0.03333333333333333,1,663.9807692307693,213.51923076923077,52
1,0.03333333333333333,2,644.695652173913,203.52173913043478,46
1,0.03333333333333333,3,625.4285714285714,201.42857142857142,35
1,0.03333333333333333,4,605.1395348837209,201.25581395348837,43
1,0.03333333333333333,5,585.6086956521739,206.56521739130434,23
1,0.03333333333333333,6,568.1136363636364,218.9318181818182,44
2,0.06666666666666667,0,679.125,226.875,64
2,0.06666666666666667,1,664.1509433962265,212.0566037735849,53
2,0.06666666666666667,2,645.3333333333334,202.25,48
2,0.06666666666666667,3,625.675,199.325,40
2,0.06666666666666667,4,606.0227272727273,199.5681818181818,44
2,0.06666666666666667,5,586.88,206.64,25
2,0.06666666666666667,6,568.3404255319149,219.3404255319149,47
3,0.1,0,677.1129032258065,227.25806451612902,62
3,0.1,1,665.1590909090909,210.11363636363637,44
3,0.1,2,646.2181818181818,198.6727272727273,55
3,0.1,3,626.4324324324324,197.56756756756758,37
3,0.1,4,606.3953488372093,199.62790697674419,43
3,0.1,5,587.5,207.63333333333333,30
3,0.1,6,569.7173913043479,219.52173913043478,46
4,0.13333333333333333,0,675.3188405797101,226.71014492753622,69
4,0.13333333333333333,1,666.7954545454545,207.4090909090909,44
4,0.13333333333333333,2,647.1041666666666,198.02083333333334,48
4,0.13333333333333333,3,627.5,196.5,28
4,0.13333333333333333,4,607.5681818181819,200.02272727272728,44
4,0.13333333333333333,5,589.1904761904761,208.33333333333334,21
4,0.13333333333333333,6,570.5,219.71428571428572,42
5,0.16666666666666666,0,675.3218390804598,225.68965517241378,87
5,0.16666666666666666,1,667.204081632653,206.6122448979592,49
5,0.16666666666666666,2,647.4634146341464,196.9268292682927,41
5,0.16666666666666666,3,627.8913043478261,196.6086956521739,46
5,0.16666666666666666,4,608.3191489361702,200.9787234042553,47
5,0.16666666666666666,5,589.3333333333334,209.5,24
5,0.16666666666666666,6,570.7142857142857,220.48979591836735,49
6,0.2,0,677.2647058823529,224.6764705882353,68
6,0.2,1,667.7567567567568,205.56756756756758,37
6,0.2,2,647.82,196.2,50
6,0.2,3,627.3095238095239,198.04761904761904,42
6,0.2,4,608.1272727272727,202.56363636363636,55
