frame,time_s,detected,confidence,axis_angle_deg,chord_angle_deg,body_bend_angle_deg,lateral_error_px,length_px,center_x,center_y,red_count,black_count,area,score,white_candidate_count,black_blob_count,red_blob_count,bbox,black_area,center,line1_x,line1_y,line2_x,line2_y,line3_x,line3_y,line4_x,line4_y,line5_x,line5_y,line6_x,line6_y,red_area,servo_bboxes,servo_center_count,servo_feature_count
30,2.0,1,0.5,101.74468469839195,108.66940145390222,47.600638034800795,93.16273316770733,342.6903060739621,419.4479380852323,351.0017858854408,1,38,10562.92,61358.980601140516,1,58,2,"(357, 220, 268, 300)",5500.5,"(480.27335552976666, 373.76873787006303)",436.35474006116203,186.24159021406726,408.3097804391217,243.47664670658682,480.95649617871834,326.22810111699,389.911787665886,401.0210772833724,433.0370228520362,487.0967700753223,326.65714285714284,510.9,95.5,"[(432, 182, 9, 10), (386, 235, 48, 18), (464, 314, 31, 22), (377, 392, 31, 16), (408, 461, 54, 53), (321, 508, 13, 8)]",6,33
33,2.2,1,1.0,108.30745155150548,103.29968071474151,71.04264191513441,116.93783734033481,373.506723033609,412.5033190015585,306.8704985798797,2,42,17109.42,77434.26677661654,1,55,2,"(336, 100, 276, 349)",7912.0,"(458.81476245414296, 288.8617787994468)",391.3859649122807,135.10307017543857,406.49197978466265,170.11865524060647,467.5272518646012,297.9879518072289,461.1845730027548,348.15426997245174,311.79316466932977,425.2587660896582,305.46286701208976,498.59240069084626,167.0,"[(384, 130, 16, 12), (386, 152, 46, 38), (460, 278, 16, 43), (454, 339, 16, 18), (289, 418, 39, 14), (300, 493, 12, 13)]",6,36
36,2.4,0,,,,,,,,,,,,,0,58,0,,,,,,,,,,,,,,,,,,,
39,2.6,1,0.5,155.9207289790819,154.01500230970166,80.17938009479491,229.6340593937317,269.6420285129039,374.07812083870044,394.59957897402796,1,29,13520.62,55393.59352100243,1,59,1,"(291, 319, 294, 313)",4407.0,"(441.81536019653015, 476.6069832367651)",506.4597441685478,292.1647855530474,462.6583747927031,330.8474295190713,409.4638609332113,392.256175663312,426.69125214408234,521.1480846197827,418.4444444444444,590.5228758169934,264.0761523046092,410.3046092184369,221.0,"[(496, 284, 24, 20), (457, 326, 13, 11), (397, 375, 26, 35), (411, 510, 33, 24), (416, 587, 6, 8), (248, 404, 33, 12)]",6,26
42,2.8,1,1.0,98.11293082064817,94.21956333920147,-22.031835228599263,71.09194612862368,357.7011235593949,444.91320371660913,430.2363688042863,2,21,11738.62,42021.727350740264,1,40,2,"(333, 289, 209, 356)",3608.0,"(433.37166439433656, 476.39626790004706)",478.5202492211838,245.5171339563863,544.7188405797101,314.46086956521737,410.59995744228104,397.9713799340355,457.5399449035812,447.9531680440771,441.6503567787971,535.8837920489296,452.2010582010582,602.2486772486772,421.0,"[(474, 240, 10, 12), (541, 309, 8, 11), (384, 369, 54, 61), (451, 445, 15, 7), (430, 523, 22, 25), (449, 595, 6, 14)]",6,19
45,3.0,1,1.0,90.76520059426491,111.13782655654173,-77.46488562899916,117.90436310777108,301.29141607099297,424.2351717895972,487.65472842358145,2,19,9993.48,38988.20303060872,1,47,2,"(345, 340, 212, 339)",2409.5,"(449.59890316244565, 526.4710798619087)",543.5235042735042,313.4145299145299,411.8714596949891,365.00217864923746,430.31900311526476,410.4448598130841,361.59874888293115,457.0026809651475,448.8159722222222,553.8645833333334,434.8740041928721,594.4337526205451,230.5,"[(539, 308, 10, 11), (408, 360, 9, 12), (419, 394, 26, 35), (355, 448, 13, 19), (445, 543, 8, 21), (412, 574, 48, 43)]",6,15
48,3.2,1,1.0,101.81953373197035,87.77819937537213,60.898834667014,112.332416771357,307.28646417424454,455.2037884820761,458.6190948924,2,23,12088.9,46770.75390350473,1,43,5,"(339, 325, 259, 374)",4654.5,"(444.3682838470207, 519.0575229503406)",397.78856526429337,306.3883495145631,512.3611111111111,361.94955300127714,492.7395143487858,422.45364238410593,470.37704918032784,460.2950819672131,431.08888888888885,587.1166666666667,409.70145259938835,613.4438073394496,466.0,"[(384, 301, 26, 12), (494, 344, 38, 37), (487, 411, 13, 25), (467, 457, 7, 7), (429, 583, 5, 9), (397, 590, 27, 47)]",6,22
51,3.4,0,,,,,,,,,,,,,0,40,3,,,,,,,,,,,,,,,,,,,
54,3.6,0,,,,,,,,,,,,,0,41,4,,,,,,,,,,,,,,,,,,,
57,3.8,1,1.0,96.36427054764141,101.73723337719599,-7.315911629609246,60.64925020500333,357.4229818251999,470.11942953628113,502.25902848660144,2,20,14593.62,48995.38862409577,1,41,5,"(301, 412, 277, 356)",2349.5,"(440.5303986828981, 568.0230357167425)",506.7307692307692,349.6025641025641,461.6296296296296,432.9581320450885,486.75913978494617,495.0,435.5,532.0,509.1626016260162,636.040650406504,434.02250113071005,699.5521257349615,339.5,"[(503, 347, 9, 6), (453, 424, 17, 17), (480, 490, 14, 12), (432, 530, 8, 5), (507, 633, 5, 7), (409, 674, 49, 50)]",6,18
60,4.0,1,1.0,95.24777132357423,96.64849211360385,-9.373685790396038,41.93121031338574,333.1015159463702,430.6184927379626,525.4322726051317,3,10,7206.4400000000005,23683.182348379432,1,26,6,"(334, 389, 223, 383)",1350.5,"(434.9888144086174, 604.2302411318424)",462.38888888888886,371.968253968254,438.76719576719574,434.65608465608466,456.3970588235294,459.2352941176471,404.82993197278904,503.6054421768707,419.77777777777777,545.6814814814815,423.82311242993734,702.8297065611605,756.5,"[(460, 369, 5, 8), (424, 426, 30, 19), (453, 455, 8, 9), (400, 502, 10, 4), (417, 541, 7, 9), (398, 667, 52, 67)]",6,9
63,4.2,1,1.0,78.3524768675711,70.37406461123155,-51.01202797725393,129.36233079069586,364.7117085921524,394.401360814026,604.4579893454094,2,11,6897.9800000000005,24721.678633492553,1,35,2,"(328, 404, 255, 400)",1399.5,"(428.9955734604015, 641.9072327270127)",301.7688564476885,392.0243309002433,456.0696517412935,439.5845771144278,267.5,519.5,419.95,543.6,424.26748299319723,735.5482993197279,,,266.5,"[(296, 389, 13, 7), (447, 431, 17, 17), (264, 512, 8, 16), (418, 540, 5, 8), (405, 714, 39, 43)]",5,11
66,4.4,1,1.0,109.45485333541801,109.74002918579104,nan,4.6665667711578305,103.64571201630511,445.877166036547,511.7193998109641,3,3,2102.2000000000003,9446.262898540872,1,25,5,"(357, 447, 159, 179)",95.0,"(436.5530033351303, 539.2163972399285)",462.82608695652175,459.6811594202898,446.9166666666667,517.8333333333334,427.8194444444444,557.2361111111111,,,,,,,357.0,"[(458, 458, 10, 4), (436, 516, 21, 5), (424, 555, 8, 5)]",3,3
69,4.6,1,0.3333333333333333,-174.63866096869373,-170.3812858936316,-6.637975263431059,15.128039745252876,244.44300810237678,480.2307583574811,547.1841826277475,1,2,2206.6,7362.927705529976,1,36,1,"(384, 457, 198, 169)",110.0,"(483.2668342081194, 542.5991022210817)",578.5147084587311,569.8929276436274,545.293791747308,548.9191187964437,502.4734815926923,555.1998111111016,463.2323390541248,543.1302570450548,421.7845403056071,542.5574678581276,386.62199672306286,537.3722317542029,139.0,,,
72,4.8,1,0.3333333333333333,142.89889655585588,144.8895059977243,31.343846423672773,28.49840142978901,312.69818506776994,439.1188912033328,539.749659509694,1,2,1775.48,6935.020466834108,1,29,2,"(312, 407, 234, 220)",80.0,"(440.76453214551174, 527.1302268732551)",517.1812772341708,475.3628956164464,479.0181000014839,499.7932295418651,458.8995907740791,551.1771312982457,412.95330957118927,577.9594210895827,353.2004178742269,586.0035540621749,320.5093773341246,613.640042865902,102.5,,,
75,5.0,1,0.6666666666666666,76.57006197047687,63.78754628292752,-0.828641192327666,25.28584305356007,238.74686177651688,425.79002096436056,828.0767295597484,2,2,3362.28,8844.052594438534,1,26,4,"(349, 745, 151, 171)",1379.0,"(427.5131517912779, 835.9597626458608)",384.0854110070459,745.5455416495151,423.5203798269944,768.3974948031699,425.9542868334573,809.4964128969631,424.012723247452,850.4593566315717,430.96304749935,887.8452483624473,467.24174910441764,914.4488509474346,352.5,,,
78,5.2,1,1.0,91.66898342852609,91.16639685882384,nan,24.824491729853168,303.83328798461645,431.19226940788656,809.8261055871824,2,9,8675.78,28497.968932145326,1,36,5,"(332, 495, 193, 443)",865.0,"(431.3418100641169, 797.2430744352073)",434.8333333333333,565.8571428571429,456.48226950354604,722.0780141843971,428.6484848484848,869.6274747474747,,,,,,,284.5,"[(430, 563, 10, 7), (451, 720, 11, 5), (414, 858, 34, 28)]",3,8
81,5.4,0,,,,,,,,,,,,,0,22,8,,,,,,,,,,,,,,,,,,,
84,5.6,0,,,,,,,,,,,,,0,19,6,,,,,,,,,,,,,,,,,,,
87,5.8,1,1.0,104.1296852256518,110.44867111396582,11.190106771019074,19.706705889900164,363.2853811766855,466.90252956636004,749.3906865965835,2,4,2166.0,9343.159588021634,1,19,6,"(383, 622, 183, 291)",1605.0,"(478.4500912183506, 757.831761967245)",508.9228082172018,631.37550353566,473.87507304577264,672.6890821356307,473.97642927931486,735.1487237513362,469.02858565824437,794.7762645096199,438.8603171457708,845.5411113125322,408.7615362039353,900.0023768096003,160.5,,,
90,6.0,0,,,,,,,,,,,,,0,20,5,,,,,,,,,,,,,,,,,,,
93,6.2,0,,,,,,,,,,,,,0,26,8,,,,,,,,,,,,,,,,,,,
96,6.4,1,0.6666666666666666,92.05598522649979,92.13268971650317,33.669595507791115,32.57274895495558,285.0269433226654,431.7953821862139,942.616571325033,2,2,2843.3,8501.962512154912,1,30,5,"(358, 827, 142, 248)",1288.5,"(429.1219651580884, 972.9164674293859)",431.4972461621549,833.0767104526872,428.5113113555966,879.1849127446371,460.8784688352177,919.3853520760757,447.2579464290533,975.7426043385158,420.8646819713364,1026.7693966818078,422.7466409650085,1068.0575274797802,378.0,,,
99,6.6,1,0.6666666666666666,2.384654855520239,3.4305954884298284,-0.3292890440804328,3.3569652005846202,191.99637874931813,445.42576264641525,833.271560046338,4,2,2696.98,10220.888502100657,1,26,6,"(370, 765, 154, 141)",48.5,"(448.2144692288334, 836.197393809849)",368.21067140697977,827.9671290996076,398.49367068716975,833.1454908667661,430.8030672363052,830.7419341432518,462.5045424795811,834.9169009130406,494.5415720316754,835.0017312309783,523.1969327636948,837.2580658567483,455.0,,,
102,6.8,0,,,,,,,,,,,,,0,31,6,,,,,,,,,,,,,,,,,,,
105,7.0,1,1.0,-82.780062603857,-88.59808160996744,-5.276287690904681,34.10020657737629,215.35070142362747,452.2203895648603,1015.7110817776913,3,4,5193.16,16174.120901288037,1,23,6,"(358, 815, 196, 355)",1514.0,"(451.497442644211, 1020.6877355085089)",447.0077277970011,1100.4244521337946,428.97175141242934,1075.3954802259886,485.44736842105266,923.5263157894736,452.2764227642276,885.1382113821138,,,,,328.0,"[(427, 1077, 40, 46), (425, 1073, 10, 6), (484, 919, 4, 10), (448, 883, 9, 5)]",4,4
108,7.2,0,,,,,,,,,,,,,0,39,9,,,,,,,,,,,,,,,,,,,
111,7.4,1,1.0,-77.46649725067647,-74.4076506830911,nan,27.723121307029487,53.677279894792974,448.6643013121695,1109.1118722131246,4,3,5384.18,15193.04060462306,1,30,14,"(367, 1013, 172, 191)",1204.5,"(449.68378991544006, 1116.240222551207)",437.2035980693287,1134.938715811028,469.5905797101449,1122.0217391304348,451.63157894736844,1083.2368421052631,,,,,,,966.0,"[(417, 1110, 41, 50), (466, 1118, 8, 9), (447, 1082, 10, 4)]",3,3
114,7.6,1,1.0,-93.59274170104146,-96.25714159208748,-14.749163437348557,24.502441381408566,386.482500168275,447.01954613218487,1065.9164244733236,6,3,5315.22,16908.38451386765,1,30,18,"(367, 882, 164, 344)",1353.0,"(444.41997274674327, 1063.0824620349993)",453.60082643202435,1211.7157254464234,448.51653038736174,1150.299904863176,451.05947716626343,1086.4472774021888,454.1495334976242,1019.528099919155,450.95880851298506,962.8073241982906,419.01537969178145,896.2815780330915,824.0,,,
117,7.8,1,0.6666666666666666,-112.5994549668664,-125.50369812114388,3.882510841573094,26.261673897421947,263.3511412671023,442.4517446060111,961.5465908734022,4,2,2779.3599999999997,10373.00459614012,1,32,11,"(364, 871, 157, 176)",86.0,"(443.84549745991, 959.9063594061034)",503.3371249647968,1043.0171427773198,462.7694128364242,1019.4460350653613,438.4875415556534,985.9821202925564,446.7971727704863,938.5006752265037,427.79068876495774,891.8995586883797,382.7242861934969,873.9472628300819,552.0,,,
120,8.0,0,,,,,,,,,,,,,0,27,8,,,,,,,,,,,,,,,,,,,
123,8.2,1,1.0,-85.42310533790527,-86.92131901136732,nan,11.823672788938408,252.5362967950586,476.01651576093843,1121.680197670413,3,3,4509.08,13282.295859330437,1,35,5,"(393, 922, 160, 392)",1413.5,"(471.59450054437366, 1146.2435939912596)",463.1925212884117,1245.0940392447242,483.5,1087.6759259259259,476.75555555555553,992.9222222222222,,,,,,,205.5,"[(440, 1219, 43, 47), (480, 1086, 8, 4), (467, 989, 20, 8)]",3,3
126,8.4,1,0.6666666666666666,0.0,0.0,0.0,0.0,196.0,472.0,1253.5,2,2,3615.8,9493.742183404791,1,20,5,"(390, 1174, 165, 160)",1218.5,"(469.4916885980037, 1257.252587589418)",390.0,1253.5,423.0,1253.5,456.0,1253.5,488.0,1253.5,521.0,1253.5,554.0,1253.5,290.0,,,
129,8.6,1,1.0,-77.99352480373767,-80.23634725283652,32.783852271606946,23.732994381831453,136.374798392816,465.4770635774308,1231.0060512647212,5,4,5561.6,18575.707302757022,1,32,6,"(367, 1078, 186, 274)",1018.5,"(460.90046355515483, 1241.496246608495)",460.37296946068875,1282.8995018410224,437.3368055555555,1276.8229166666667,455.15204678362574,1260.2816764132554,483.5,1148.5,,,,,642.0,"[(444, 1267, 40, 35), (435, 1271, 6, 13), (442, 1252, 26, 19), (478, 1147, 12, 4)]",4,4
132,8.8,0,,,,,,,,,,,,,0,23,8,,,,,,,,,,,,,,,,,,,
135,9.0,0,,,,,,,,,,,,,0,27,4,,,,,,,,,,,,,,,,,,,
138,9.2,0,,,,,,,,,,,,,0,31,7,,,,,,,,,,,,,,,,,,,
141,9.4,0,,,,,,,,,,,,,0,19,5,,,,,,,,,,,,,,,,,,,
144,9.6,1,0.3333333333333333,4.041289331658902,6.708821837246192,4.235167642569331,6.343302216559666,212.3996907504229,488.5243440553299,1385.206059940718,1,2,3381.3,8329.9264090079,1,20,6,"(404, 1311, 169, 152)",997.5,"(485.38697199966197, 1390.1802109122002)",402.9675045005883,1376.497704160241,434.43942197009034,1383.8951865410331,470.8776817932387,1381.3853815848943,505.73594563888383,1386.6226463076164,541.2424975106601,1386.3758306791894,573.0324954994117,1396.5022958397587,180.0,,,
147,9.8,1,0.6666666666666666,89.90408139921857,89.98906902364631,-1.0200844131162654,1.996169616142515,330.3109191703637,480.7149594813614,1332.1168557536466,6,2,3868.3199999999997,13283.514942086582,1,28,9,"(404, 1183, 155, 299)",970.0,"(480.719541357029, 1348.0353470125417)",480.9732593651698,1194.026830317799,480.9741846929773,1249.0795628229973,478.998253040318,1304.9564764035813,481.0257312292393,1359.8702144089127,481.0258181096155,1414.9221112692724,481.0259049899917,1469.974008129632,846.0,,,
150,10.0,1,1.0,90.73359108702326,91.11757496225908,8.799212173583413,29.859819689899282,221.58722527761375,485.3964413310253,1406.4120999362813,4,4,5867.32,18056.109487240643,1,33,7,"(407, 1156, 170, 361)",930.0,"(485.18971575550887, 1351.417127598136)",481.63565891472865,1226.612403100775,479.22222222222223,1257.611111111111,507.95,1408.65,477.3137937705552,1448.1574772683302,,,,,416.5,"[(478, 1224, 8, 6), (474, 1256, 12, 4), (505, 1406, 7, 6), (462, 1430, 33, 37)]",4,4
153,10.2,0,,,,,,,,,,,,,0,30,2,,,,,,,,,,,,,,,,,,,
156,10.4,0,,,,,,,,,,,,,0,24,2,,,,,,,,,,,,,,,,,,,
159,10.6,0,,,,,,,,,,,,,0,21,3,,,,,,,,,,,,,,,,,,,
162,10.8,1,0.6666666666666666,90.0,90.0,0.0,0.0,195.0,491.5,1505.5,3,2,3564.32,10196.837862390776,1,25,5,"(417, 1424, 150, 164)",984.5,"(491.0119569133391, 1510.0513875583688)",491.5,1424.0,491.5,1457.0,491.5,1489.0,491.5,1522.0,491.5,1554.0,491.5,1587.0,409.5,,,
165,11.0,0,,,,,,,,,,,,,0,22,5,,,,,,,,,,,,,,,,,,,
168,11.2,0,,,,,,,,,,,,,0,29,6,,,,,,,,,,,,,,,,,,,
171,11.4,0,,,,,,,,,,,,,0,23,6,,,,,,,,,,,,,,,,,,,
174,11.6,0,,,,,,,,,,,,,0,28,5,,,,,,,,,,,,,,,,,,,
177,11.8,0,,,,,,,,,,,,,0,27,5,,,,,,,,,,,,,,,,,,,
180,12.0,0,,,,,,,,,,,,,0,17,7,,,,,,,,,,,,,,,,,,,
183,12.2,1,0.6666666666666666,95.31153821730585,101.4997803707383,3.694556890380511,20.379857337956203,334.2456182273685,513.9888211041464,1583.0124861730299,4,2,3072.22,10712.261629831126,1,26,8,"(429, 1441, 170, 286)",688.0,"(514.0093367749919, 1586.6528925453433)",537.5284939695952,1451.5593326707415,511.1199504041975,1498.2220424692186,513.1979914430427,1555.9923190133522,514.9874819751368,1611.6224017718712,514.3561337656698,1667.6816254627313,484.2911157432433,1713.2345408823153,487.5,,,
186,12.4,0,,,,,,,,,,,,,0,22,4,,,,,,,,,,,,,,,,,,,
189,12.6,0,,,,,,,,,,,,,0,23,3,,,,,,,,,,,,,,,,,,,
192,12.8,0,,,,,,,,,,,,,0,24,1,,,,,,,,,,,,,,,,,,,
195,13.0,0,,,,,,,,,,,,,0,26,2,,,,,,,,,,,,,,,,,,,
198,13.2,0,,,,,,,,,,,,,0,23,7,,,,,,,,,,,,,,,,,,,
201,13.4,0,,,,,,,,,,,,,0,18,4,,,,,,,,,,,,,,,,,,,
204,13.6,0,,,,,,,,,,,,,0,33,4,,,,,,,,,,,,,,,,,,,
207,13.8,0,,,,,,,,,,,,,0,33,3,,,,,,,,,,,,,,,,,,,
210,14.0,0,,,,,,,,,,,,,0,25,4,,,,,,,,,,,,,,,,,,,
213,14.2,0,,,,,,,,,,,,,0,27,4,,,,,,,,,,,,,,,,,,,
216,14.4,0,,,,,,,,,,,,,0,21,0,,,,,,,,,,,,,,,,,,,
219,14.6,0,,,,,,,,,,,,,0,21,0,,,,,,,,,,,,,,,,,,,
222,14.8,0,,,,,,,,,,,,,0,29,1,,,,,,,,,,,,,,,,,,,
225,15.0,1,0.6666666666666666,122.50827995509721,128.42416402264973,-12.48947818546587,22.050222618799516,362.9677711898529,485.10301420122084,1654.9119461049436,2,2,1914.38,7849.144347188159,1,19,2,"(383, 1543, 216, 278)",56.0,"(499.7148255528868, 1668.0247070080916)",578.1532990938379,1554.636779336139,526.8248451916678,1584.828331213644,491.4045563540063,1628.5113985243017,472.658400398036,1683.4055148935952,438.1859799062524,1733.7317194238287,404.61030738733643,1773.4039445100118,119.5,,,
