seq,millis,channel,target_deg,actual_deg,error_deg
43589,3487678,CH5,101.363,89.760,11.603
43589,3487678,CH6,98.817,93.840,4.977
43590,3487758,CH1,125.055,125.040,0.015
43590,3487758,CH2,128.181,123.120,5.061
43590,3487758,CH3,130.873,120.960,9.913
43590,3487758,CH4,112.027,100.080,11.947
43590,3487758,CH5,101.363,89.760,11.603
43590,3487758,CH6,98.817,93.840,4.977
43591,3487838,CH1,112.805,120.960,-8.155
43591,3487838,CH2,123.900,124.800,-0.900
43591,3487838,CH3,134.365,129.360,5.005
43591,3487838,CH4,122.442,112.800,9.642
43591,3487838,CH5,115.556,101.520,14.036
43591,3487838,CH6,111.655,100.560,11.095
43592,3487918,CH1,97.663,109.680,-12.017
43592,3487918,CH2,113.042,120.000,-6.958
43592,3487918,CH3,130.221,131.040,-0.819
43592,3487918,CH4,126.019,121.920,4.099
43592,3487918,CH5,126.574,115.920,10.654
43592,3487918,CH6,126.760,113.280,13.480
43593,3488007,CH1,97.663,109.680,-12.017
43593,3488007,CH2,113.042,120.000,-6.958
43593,3488007,CH3,130.221,131.040,-0.819
43593,3488007,CH4,126.019,121.920,4.099
43593,3488007,CH5,126.574,115.920,10.654
43593,3488007,CH6,126.760,113.280,13.480
43594,3488078,CH1,85.413,96.000,-10.587
43594,3488078,CH2,99.756,109.200,-9.444
43594,3488078,CH3,120.023,127.440,-7.417
43594,3488078,CH4,121.390,124.320,-2.930
43594,3488078,CH5,130.210,128.160,2.050
43594,3488078,CH6,138.364,127.680,10.684
43595,3488158,CH1,80.734,86.640,-5.906
43595,3488158,CH2,89.115,96.960,-7.845
43595,3488158,CH3,107.667,117.360,-9.693
43595,3488158,CH4,110.324,118.560,-8.236
43595,3488158,CH5,125.074,129.360,-4.286
43595,3488158,CH6,142.033,139.920,2.113
43596,3488238,CH1,85.413,84.720,0.693
43596,3488238,CH2,85.185,88.560,-3.375
43596,3488238,CH3,97.872,105.600,-7.728
43596,3488238,CH4,97.048,106.800,-9.752
43596,3488238,CH5,113.128,122.160,-9.032
43596,3488238,CH6,136.366,140.640,-4.274
43597,3488318,CH1,85.413,84.720,0.693
43597,3488318,CH2,85.185,88.560,-3.375
43597,3488318,CH3,97.872,105.600,-7.728
43597,3488318,CH4,97.048,106.800,-9.752
43597,3488318,CH5,113.128,122.160,-9.032
43597,3488318,CH6,136.366,140.640,-4.274
43598,3488407,CH1,97.663,88.320,9.343
43598,3488407,CH2,89.466,87.360,2.106
43598,3488407,CH3,94.381,97.920,-3.539
43598,3488407,CH4,86.633,94.080,-7.447
43598,3488407,CH5,98.935,109.680,-10.745
43598,3488407,CH6,123.529,132.720,-9.191
43599,3488478,CH1,112.805,100.080,12.725
43599,3488478,CH2,100.324,92.880,7.444
43599,3488478,CH3,98.525,96.000,2.525
43599,3488478,CH4,83.056,85.680,-2.624
43599,3488478,CH5,87.916,96.480,-8.564
43599,3488478,CH6,108.423,120.240,-11.817
43600,3488558,CH1,112.805,100.080,12.725
43600,3488558,CH2,100.324,92.880,7.444
43600,3488558,CH3,98.525,96.000,2.525
43600,3488558,CH4,83.056,85.680,-2.624
43600,3488558,CH5,87.916,96.480,-8.564
43600,3488558,CH6,108.423,120.240,-11.817
