seq,millis,channel,target_deg,actual_deg,error_deg
38026,3042642,CH5,125.900,114.720,11.180
38026,3042642,CH6,128.725,115.680,13.045
38027,3042722,CH1,92.410,104.160,-11.750
38027,3042722,CH2,106.970,114.240,-7.270
38027,3042722,CH3,122.614,123.840,-1.226
38027,3042722,CH4,124.842,120.960,3.882
38027,3042722,CH5,125.900,114.720,11.180
38027,3042722,CH6,128.725,115.680,13.045
38028,3042810,CH1,80.160,90.960,-10.800
38028,3042810,CH2,93.684,103.200,-9.516
38028,3042810,CH3,112.416,119.520,-7.104
38028,3042810,CH4,120.214,123.840,-3.626
38028,3042810,CH5,129.536,126.720,2.816
38028,3042810,CH6,140.328,129.600,10.728
38029,3042882,CH1,75.481,81.600,-6.119
38029,3042882,CH2,83.043,91.440,-8.397
38029,3042882,CH3,100.060,109.440,-9.380
38029,3042882,CH4,109.148,117.360,-8.212
38029,3042882,CH5,124.400,128.640,-4.240
38029,3042882,CH6,143.997,140.400,3.597
38030,3042962,CH1,75.481,81.600,-6.119
38030,3042962,CH2,83.043,91.440,-8.397
38030,3042962,CH3,100.060,109.440,-9.380
38030,3042962,CH4,109.148,117.360,-8.212
38030,3042962,CH5,124.400,128.640,-4.240
38030,3042962,CH6,143.997,140.400,3.597
38031,3043042,CH1,80.160,79.440,0.720
38031,3043042,CH2,79.113,83.280,-4.167
38031,3043042,CH3,90.266,97.920,-7.654
38031,3043042,CH4,95.872,105.600,-9.728
38031,3043042,CH5,112.454,120.960,-8.506
38031,3043042,CH6,138.331,142.080,-3.749
38032,3043122,CH1,92.410,83.280,9.130
38032,3043122,CH2,83.394,81.120,2.274
38032,3043122,CH3,86.774,89.760,-2.986
38032,3043122,CH4,85.456,92.640,-7.184
38032,3043122,CH5,98.261,109.440,-11.179
38032,3043122,CH6,125.493,135.120,-9.627
38033,3043210,CH1,107.552,95.040,12.512
38033,3043210,CH2,94.252,86.160,8.092
38033,3043210,CH3,90.918,88.560,2.358
38033,3043210,CH4,81.880,84.240,-2.360
38033,3043210,CH5,87.242,95.760,-8.518
38033,3043210,CH6,110.388,122.640,-12.252
38034,3043282,CH1,107.552,95.040,12.512
38034,3043282,CH2,94.252,86.160,8.092
38034,3043282,CH3,90.918,88.560,2.358
38034,3043282,CH4,81.880,84.240,-2.360
38034,3043282,CH5,87.242,95.760,-8.518
38034,3043282,CH6,110.388,122.640,-12.252
38035,3043362,CH1,119.802,108.960,10.842
38035,3043362,CH2,107.538,97.200,10.338
38035,3043362,CH3,101.116,93.600,7.516
38035,3043362,CH4,86.508,82.800,3.708
38035,3043362,CH5,83.607,84.720,-1.113
38035,3043362,CH6,98.784,108.240,-9.456
38036,3043442,CH1,124.481,117.360,7.121
38036,3043442,CH2,118.179,108.960,9.219
38036,3043442,CH3,113.472,101.760,11.712
38036,3043442,CH4,97.574,87.360,10.214
38036,3043442,CH5,88.743,82.800,5.943
38036,3043442,CH6,95.115,97.200,-2.085
38037,3043522,CH1,119.801,119.520,0.281
38037,3043522,CH2,122.109,116.640,5.469
38037,3043522,CH3,123.267,113.040,10.227
38037,3043522,CH4,110.850,98.640,12.210
38037,3043522,CH5,100.689,89.280,11.409
38037,3043522,CH6,100.782,95.280,5.502
38038,3043610,CH1,119.801,119.520,0.281
38038,3043610,CH2,122.109,116.640,5.469
38038,3043610,CH3,123.267,113.040,10.227
38038,3043610,CH4,110.850,98.640,12.210
38038,3043610,CH5,100.689,89.280,11.409
38038,3043610,CH6,100.782,95.280,5.502
38039,3043682,CH1,107.551,115.920,-8.369
38039,3043682,CH2,117.828,118.560,-0.732
38039,3043682,CH3,126.759,121.440,5.319
38039,3043682,CH4,121.266,111.360,9.906
38039,3043682,CH5,114.881,100.560,14.321
38039,3043682,CH6,113.619,102.720,10.899
38040,3043762,CH1,92.410,103.920,-11.510
38040,3043762,CH2,106.970,113.760,-6.790
38040,3043762,CH3,122.614,123.840,-1.226
38040,3043762,CH4,124.842,120.480,4.362
38040,3043762,CH5,125.900,114.720,11.180
38040,3043762,CH6,128.725,114.960,13.765
38041,3043842,CH1,92.410,103.920,-11.510
38041,3043842,CH2,106.970,113.760,-6.790
38041,3043842,CH3,122.614,123.840,-1.226
38041,3043842,CH4,124.842,120.480,4.362
38041,3043842,CH5,125.900,114.720,11.180
38041,3043842,CH6,128.725,114.960,13.765
38042,3043922,CH1,80.160,90.960,-10.800
38042,3043922,CH2,93.684,102.480,-8.796
38042,3043922,CH3,112.416,119.760,-7.344
38042,3043922,CH4,120.214,123.360,-3.146
38042,3043922,CH5,129.536,125.520,4.016
38042,3043922,CH6,140.328,130.080,10.248
38043,3044010,CH1,75.481,81.600,-6.119
38043,3044010,CH2,83.043,91.440,-8.397
38043,3044010,CH3,100.060,109.680,-9.620
38043,3044010,CH4,109.148,117.600,-8.452
38043,3044010,CH5,124.400,126.960,-2.560
38043,3044010,CH6,143.997,141.120,2.877
38044,3044082,CH1,80.160,79.440,0.720
38044,3044082,CH2,79.113,83.040,-3.927
38044,3044082,CH3,90.266,97.920,-7.654
38044,3044082,CH4,95.872,105.360,-9.488
38044,3044082,CH5,112.454,120.960,-8.506
38044,3044082,CH6,138.331,142.560,-4.229
38045,3044162,CH1,80.160,79.440,0.720
38045,3044162,CH2,79.113,83.040,-3.927
38045,3044162,CH3,90.266,97.920,-7.654
38045,3044162,CH4,95.872,105.360,-9.488
