seq,millis,channel,target_deg,actual_deg,error_deg
38989,3119681,CH4,105.462,114.480,-9.018
38989,3119681,CH5,114.088,126.240,-12.152
38989,3119681,CH6,128.256,138.960,-10.704
38990,3119761,CH1,141.246,129.360,11.886
38990,3119761,CH2,129.845,122.640,7.205
38990,3119761,CH3,126.509,124.800,1.709
38990,3119761,CH4,101.885,105.120,-3.235
38990,3119761,CH5,103.069,113.280,-10.211
38990,3119761,CH6,113.151,126.480,-13.329
38991,3119841,CH1,153.496,143.280,10.216
38991,3119841,CH2,143.132,134.160,8.972
38991,3119841,CH3,136.707,130.080,6.627
38991,3119841,CH4,106.514,103.200,3.314
38991,3119841,CH5,99.433,101.520,-2.087
38991,3119841,CH6,101.548,111.600,-10.052
38992,3119921,CH1,158.175,151.920,6.255
38992,3119921,CH2,153.772,144.960,8.812
38992,3119921,CH3,149.063,139.440,9.623
38992,3119921,CH4,117.580,109.200,8.380
38992,3119921,CH5,104.569,99.840,4.729
38992,3119921,CH6,97.879,100.560,-2.681
38993,3120010,CH1,158.175,151.920,6.255
38993,3120010,CH2,153.772,144.960,8.812
38993,3120010,CH3,149.063,139.440,9.623
38993,3120010,CH4,117.580,109.200,8.380
38993,3120010,CH5,104.569,99.840,4.729
38993,3120010,CH6,97.879,100.560,-2.681
38994,3120081,CH1,153.496,153.600,-0.104
38994,3120081,CH2,157.703,153.120,4.583
38994,3120081,CH3,158.857,150.480,8.377
38994,3120081,CH4,130.856,120.240,10.616
38994,3120081,CH5,116.515,107.520,8.995
38994,3120081,CH6,103.545,99.360,4.185
38995,3120161,CH1,141.246,149.760,-8.514
38995,3120161,CH2,153.421,155.280,-1.859
38995,3120161,CH3,162.349,158.160,4.189
38995,3120161,CH4,141.271,132.960,8.311
38995,3120161,CH5,130.708,119.040,11.668
38995,3120161,CH6,116.383,106.560,9.823
38996,3120241,CH1,141.246,149.760,-8.514
38996,3120241,CH2,153.421,155.280,-1.859
38996,3120241,CH3,162.349,158.160,4.189
38996,3120241,CH4,141.271,132.960,8.311
38996,3120241,CH5,130.708,119.040,11.668
38996,3120241,CH6,116.383,106.560,9.823
38997,3120321,CH1,126.104,138.000,-11.896
38997,3120321,CH2,142.564,150.000,-7.436
38997,3120321,CH3,158.204,159.840,-1.636
38997,3120321,CH4,144.848,141.600,3.248
38997,3120321,CH5,141.727,132.720,9.007
38997,3120321,CH6,131.488,118.800,12.688
38998,3120410,CH1,113.854,124.320,-10.466
38998,3120410,CH2,129.278,139.440,-10.162
38998,3120410,CH3,148.006,155.520,-7.514
38998,3120410,CH4,140.219,143.280,-3.061
38998,3120410,CH5,145.363,143.280,2.083
38998,3120410,CH6,143.091,132.960,10.131
38999,3120481,CH1,109.175,115.680,-6.505
38999,3120481,CH2,118.637,127.920,-9.283
38999,3120481,CH3,135.651,146.400,-10.749
38999,3120481,CH4,129.153,138.720,-9.567
38999,3120481,CH5,140.226,144.720,-4.494
38999,3120481,CH6,146.761,144.480,2.281
39000,3120561,CH1,109.175,115.680,-6.505
39000,3120561,CH2,118.637,127.920,-9.283
39000,3120561,CH3,135.651,146.400,-10.749
39000,3120561,CH4,129.153,138.720,-9.567
39000,3120561,CH5,140.226,144.720,-4.494
39000,3120561,CH6,146.761,144.480,2.281
39001,3120641,CH1,113.854,113.520,0.334
39001,3120641,CH2,114.707,119.280,-4.573
39001,3120641,CH3,125.856,134.640,-8.784
39001,3120641,CH4,115.877,127.440,-11.563
39001,3120641,CH5,128.281,138.720,-10.439
39001,3120641,CH6,141.094,145.200,-4.106
39002,3120721,CH1,126.104,117.360,8.744
39002,3120721,CH2,118.988,117.360,1.628
39002,3120721,CH3,122.364,126.240,-3.876
39002,3120721,CH4,105.462,114.000,-8.538
39002,3120721,CH5,114.088,126.000,-11.912
39002,3120721,CH6,128.256,138.720,-10.464
39003,3120810,CH1,126.104,117.360,8.744
39003,3120810,CH2,118.988,117.360,1.628
39003,3120810,CH3,122.364,126.240,-3.876
39003,3120810,CH4,105.462,114.000,-8.538
39003,3120810,CH5,114.088,126.000,-11.912
39003,3120810,CH6,128.256,138.720,-10.464
39004,3120881,CH1,141.246,129.360,11.886
39004,3120881,CH2,129.845,122.400,7.445
39004,3120881,CH3,126.509,124.800,1.709
39004,3120881,CH4,101.885,104.640,-2.755
39004,3120881,CH5,103.069,112.080,-9.011
39004,3120881,CH6,113.151,125.760,-12.609
39005,3120961,CH1,153.496,143.280,10.216
39005,3120961,CH2,143.132,134.400,8.732
39005,3120961,CH3,136.707,129.840,6.867
39005,3120961,CH4,106.514,103.440,3.074
39005,3120961,CH5,99.433,101.040,-1.607
39005,3120961,CH6,101.548,110.640,-9.092
39006,3121041,CH1,158.175,151.680,6.495
39006,3121041,CH2,153.772,144.960,8.812
39006,3121041,CH3,149.063,139.680,9.383
39006,3121041,CH4,117.580,108.480,9.100
39006,3121041,CH5,104.569,99.600,4.969
39006,3121041,CH6,97.879,99.840,-1.961
39007,3121121,CH1,158.175,151.680,6.495
39007,3121121,CH2,153.772,144.960,8.812
39007,3121121,CH3,149.063,139.680,9.383
39007,3121121,CH4,117.580,108.480,9.100
39007,3121121,CH5,104.569,99.600,4.969
39007,3121121,CH6,97.879,99.840,-1.961
39008,3121210,CH1,153.496,153.600,-0.104
39008,3121210,CH2,157.703,152.880,4.823
39008,3121210,CH3,158.857,150.240,8.617
39008,3121210,CH4,130.856,120.000,10.856
39008,3121210,CH5,116.515,107.040,9.475
39008,3121210,CH6,103.545,98.880,4.665
39009,3121281,CH1,141.246,150.000,-8.754
39009,3121281,CH2,153.421,155.040,-1.619
39009,3121281,CH3,162.349,157.680,4.669
39009,3121281,CH4,141.271,132.960,8.311
39009,3121281,CH5,130.708,119.280,11.428
39009,3121281,CH6,116.383,106.560,9.823
39010,3121361,CH1,141.246,150.000,-8.754
39010,3121361,CH2,153.421,155.040,-1.619
39010,3121361,CH3,162.349,157.680,4.669
39010,3121361,CH4,141.271,132.960,8.311
39010,3121361,CH5,130.708,119.280,11.428
39010,3121361,CH6,116.383,106.560,9.823
39011,3121441,CH1,126.104,138.000,-11.896
39011,3121441,CH2,142.564,150.240,-7.676
39011,3121441,CH3,158.204,159.600,-1.396
39011,3121441,CH4,144.848,141.840,3.008
39011,3121441,CH5,141.727,132.960,8.767
39011,3121441,CH6,131.488,119.040,12.448
39012,3121521,CH1,113.854,124.560,-10.706
39012,3121521,CH2,129.278,138.720,-9.442
39012,3121521,CH3,148.006,155.760,-7.754
39012,3121521,CH4,140.219,143.520,-3.301
39012,3121521,CH5,145.363,143.280,2.083
39012,3121521,CH6,143.091,133.440,9.651
39013,3121610,CH1,109.175,115.680,-6.505
39013,3121610,CH2,118.637,127.920,-9.283
39013,3121610,CH3,135.651,146.640,-10.989
39013,3121610,CH4,129.153,138.480,-9.327
39013,3121610,CH5,140.226,144.960,-4.734
39013,3121610,CH6,146.761,143.520,3.241
39014,3121681,CH1,109.175,115.680,-6.505
39014,3121681,CH2,118.637,127.920,-9.283
39014,3121681,CH3,135.651,146.640,-10.989
39014,3121681,CH4,129.153,138.480,-9.327
39014,3121681,CH5,140.226,144.960,-4.734
39014,3121681,CH6,146.761,143.520,3.241
39015,3121761,CH1,113.854,114.000,-0.146
39015,3121761,CH2,114.707,119.520,-4.813
39015,3121761,CH3,125.856,135.360,-9.504
39015,3121761,CH4,115.877,127.680,-11.803
39015,3121761,CH5,128.281,138.480,-10.199
39015,3121761,CH6,141.094,144.720,-3.626
39016,3121841,CH1,126.104,117.360,8.744
39016,3121841,CH2,118.988,117.600,1.388
39016,3121841,CH3,122.364,126.480,-4.116
39016,3121841,CH4,105.462,114.480,-9.018
39016,3121841,CH5,114.088,126.480,-12.392
39016,3121841,CH6,128.256,138.480,-10.224
39017,3121921,CH1,141.246,129.120,12.126
39017,3121921,CH2,129.845,122.400,7.445
39017,3121921,CH3,126.509,124.800,1.709
39017,3121921,CH4,101.885,105.120,-3.235
39017,3121921,CH5,103.069,113.040,-9.971
39017,3121921,CH6,113.151,125.520,-12.369
39018,3122010,CH1,141.246,129.120,12.126
39018,3122010,CH2,129.845,122.400,7.445
39018,3122010,CH3,126.509,124.800,1.709
39018,3122010,CH4,101.885,105.120,-3.235
39018,3122010,CH5,103.069,113.040,-9.971
39018,3122010,CH6,113.151,125.520,-12.369
39019,3122081,CH1,153.496,143.040,10.456
39019,3122081,CH2,143.132,133.440,9.692
39019,3122081,CH3,136.707,130.080,6.627
39019,3122081,CH4,106.514,103.440,3.074
39019,3122081,CH5,99.433,101.280,-1.847
39019,3122081,CH6,101.548,111.360,-9.812
39020,3122161,CH1,158.175,151.680,6.495
39020,3122161,CH2,153.772,144.960,8.812
39020,3122161,CH3,149.063,139.440,9.623
39020,3122161,CH4,117.580,108.720,8.860
39020,3122161,CH5,104.569,99.360,5.209
39020,3122161,CH6,97.879,100.080,-2.201
39021,3122241,CH1,158.175,151.680,6.495
39021,3122241,CH2,153.772,144.960,8.812
39021,3122241,CH3,149.063,139.440,9.623
39021,3122241,CH4,117.580,108.720,8.860
39021,3122241,CH5,104.569,99.360,5.209
39021,3122241,CH6,97.879,100.080,-2.201
39022,3122321,CH1,153.496,153.600,-0.104
39022,3122321,CH2,157.703,152.880,4.823
39022,3122321,CH3,158.857,150.480,8.377
39022,3122321,CH4,130.856,120.480,10.376
39022,3122321,CH5,116.515,106.800,9.715
39022,3122321,CH6,103.545,99.120,4.425
39023,3122410,CH1,141.246,149.760,-8.514
39023,3122410,CH2,153.421,154.800,-1.379
39023,3122410,CH3,162.349,157.680,4.669
39023,3122410,CH4,141.271,133.200,8.071
39023,3122410,CH5,130.708,119.280,11.428
39023,3122410,CH6,116.383,106.320,10.063
39024,3122481,CH1,126.104,138.000,-11.896
39024,3122481,CH2,142.564,150.240,-7.676
39024,3122481,CH3,158.204,160.320,-2.116
39024,3122481,CH4,144.848,141.840,3.008
39024,3122481,CH5,141.727,132.720,9.007
39024,3122481,CH6,131.488,119.040,12.448
39025,3122561,CH1,126.104,138.000,-11.896
39025,3122561,CH2,142.564,150.240,-7.676
39025,3122561,CH3,158.204,160.320,-2.116
39025,3122561,CH4,144.848,141.840,3.008
39025,3122561,CH5,141.727,132.720,9.007
39025,3122561,CH6,131.488,119.040,12.448
39026,3122641,CH1,113.854,124.320,-10.466
39026,3122641,CH2,129.278,139.200,-9.922
39026,3122641,CH3,148.006,155.760,-7.754
39026,3122641,CH4,140.219,143.520,-3.301
39026,3122641,CH5,145.363,143.760,1.603
39026,3122641,CH6,143.091,133.440,9.651
39027,3122721,CH1,109.175,115.680,-6.505
39027,3122721,CH2,118.637,127.920,-9.283
39027,3122721,CH3,135.651,146.400,-10.749
39027,3122721,CH4,129.153,138.480,-9.327
39027,3122721,CH5,140.226,145.440,-5.214
39027,3122721,CH6,146.761,144.240,2.521
39028,3122810,CH1,109.175,115.680,-6.505
39028,3122810,CH2,118.637,127.920,-9.283
39028,3122810,CH3,135.651,146.400,-10.749
39028,3122810,CH4,129.153,138.480,-9.327
39028,3122810,CH5,140.226,145.440,-5.214
39028,3122810,CH6,146.761,144.240,2.521
39029,3122881,CH1,113.854,113.520,0.334
39029,3122881,CH2,114.707,119.280,-4.573
39029,3122881,CH3,125.856,135.360,-9.504
39029,3122881,CH4,115.877,127.440,-11.563
39029,3122881,CH5,128.281,139.200,-10.919
39029,3122881,CH6,141.094,144.960,-3.866
